index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,92.0,64.0,92.0,92.0,88.0,87.5,28.0,80.0,25
1,Cognitive Skills,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.184210526316,0.0,25
2,Cognitive Skills,se,22.266426503,21.0790934197,11.5640206658,15.4154870377,12.6450333086,25.7966306152,19.0042066596,26.3672534258,25
3,Noncognitive Skills,point,23.9316239316,17.094017094,23.0769230769,15.3846153846,27.3504273504,15.3846153846,11.1111111111,16.2393162393,117
4,Noncognitive Skills,pval,0.0394736842105,0.0921052631579,0.0657894736842,0.210526315789,0.0394736842105,0.210526315789,0.394736842105,0.157894736842,117
5,Noncognitive Skills,se,5.88366184152,5.31437945282,9.54019154644,7.32924541934,8.93294187348,5.55739978712,4.56159635016,6.13371329593,117
6,"Mother's Employment, Education, and Income",point,25.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,4
7,"Mother's Employment, Education, and Income",pval,0.157894736842,0.0394736842105,0.210526315789,0.131578947368,0.631578947368,0.197368421053,0.276315789474,0.25,4
8,"Mother's Employment, Education, and Income",se,17.0235904432,14.9609628486,17.5177437197,17.0521931272,17.3851003851,17.0138888889,13.918000245,19.5010513894,4
9,Childhood Household Environment,point,26.6666666667,6.66666666667,46.6666666667,46.6666666667,46.6666666667,0.0,7.14285714286,7.14285714286,15
10,Childhood Household Environment,pval,0.0789473684211,0.723684210526,0.0,0.0,0.0,0.907894736842,0.407894736842,0.394736842105,15
11,Childhood Household Environment,se,11.3038407088,11.1061194669,12.1870235109,10.9589566845,11.0740468818,12.2226385659,13.9313243138,14.0533997887,15
12,Adult Household Environment,point,22.2222222222,22.2222222222,11.1111111111,22.2222222222,22.2222222222,0.0,0.0,11.1111111111,9
13,Adult Household Environment,pval,0.118421052632,0.118421052632,0.394736842105,0.210526315789,0.223684210526,0.815789473684,1.0,0.421052631579,9
14,Adult Household Environment,se,14.1100641323,11.8746401972,15.1868469659,12.7937139662,14.7506049492,14.4956904818,9.4017064198,12.0513906398,9
15,"Education, Employment, Income",point,35.7142857143,28.5714285714,44.4444444444,25.9259259259,55.5555555556,28.5714285714,21.4285714286,32.1428571429,28
16,"Education, Employment, Income",pval,0.0131578947368,0.0394736842105,0.0131578947368,0.105263157895,0.0,0.0131578947368,0.0921052631579,0.0526315789474,28
17,"Education, Employment, Income",se,10.7221788663,10.4470811165,14.2001044734,11.2165943235,13.3622384438,9.03770780435,10.0583753307,11.6756627209,28
18,Crime,point,100.0,33.3333333333,50.0,0.0,0.0,66.6666666667,33.3333333333,33.3333333333,3
19,Crime,pval,0.0,0.144736842105,0.315789473684,0.223684210526,0.447368421053,0.0263157894737,0.0921052631579,0.144736842105,3
20,Crime,se,38.0026417467,25.1651465402,43.4680766104,26.2912165975,42.4419107661,26.1425094285,19.255135261,23.6641131972,3
21,Childhood Health,point,28.5714285714,35.7142857143,0.0,0.0,0.0,28.5714285714,28.5714285714,42.8571428571,14
22,Childhood Health,pval,0.0789473684211,0.0131578947368,0.605263157895,1.0,0.671052631579,0.118421052632,0.0789473684211,0.0,14
23,Childhood Health,se,13.5788454345,11.6854024605,16.995780224,7.48932492375,15.9102868644,14.0455917192,11.7705071215,12.4874364055,14
24,Adult Health,point,14.2857142857,7.31707317073,18.75,11.3924050633,18.9873417722,11.1111111111,10.1265822785,12.6582278481,84
25,Adult Health,pval,0.144736842105,0.828947368421,0.105263157895,0.302631578947,0.105263157895,0.342105263158,0.552631578947,0.236842105263,84
26,Adult Health,se,4.5164176129,2.96501177507,6.49254956385,4.29224353456,6.44018305409,3.6217781915,3.52434676848,3.83853077569,84
27,Mental Health,point,44.6428571429,51.7857142857,39.2857142857,38.1818181818,43.6363636364,35.7142857143,41.0714285714,44.6428571429,56
28,Mental Health,pval,0.0,0.0,0.0,0.0,0.0,0.0394736842105,0.0131578947368,0.0263157894737,56
29,Mental Health,se,16.3078587763,17.1098359858,9.16198295739,11.0371242769,10.9764144488,16.563491027,16.1337575569,15.7146909615,56
30,Drugs and Alcohol,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31,Drugs and Alcohol,pval,0.657894736842,1.0,0.578947368421,1.0,0.539473684211,0.513157894737,1.0,0.421052631579,4
32,Drugs and Alcohol,se,20.9505474534,12.3898656946,19.1494965045,7.27739832054,19.1342212032,16.5581261005,13.1456082987,15.2385194699,4
