index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,96.0,84.0,64.0,60.0,52.0,96.0,84.0,84.0,25
1,Cognitive Skills,pval,0.0,0.0,0.302631578947,0.381578947368,0.473684210526,0.0,0.0,0.0,25
2,Cognitive Skills,se,12.1736461596,12.298395274,25.5011125848,23.232381733,23.9219035674,12.2478211453,12.096685415,12.9162212713,25
3,Noncognitive Skills,point,41.8803418803,45.2991452991,28.4482758621,35.3448275862,33.6206896552,47.8632478632,50.4273504274,50.4273504274,117
4,Noncognitive Skills,pval,0.907894736842,0.644736842105,1.0,0.934210526316,0.986842105263,0.578947368421,0.460526315789,0.539473684211,117
5,Noncognitive Skills,se,6.09614535198,8.58896222005,6.51169718266,10.9575337401,6.53110016683,6.77290923883,7.04852739611,7.13503936696,117
6,"Mother's Employment, Education, and Income",point,50.0,50.0,50.0,100.0,50.0,25.0,50.0,50.0,4
7,"Mother's Employment, Education, and Income",pval,0.513157894737,0.657894736842,0.368421052632,0.0,0.368421052632,0.960526315789,0.605263157895,0.631578947368,4
8,"Mother's Employment, Education, and Income",se,16.1077453251,18.7730505626,25.0242990317,25.8629394515,25.38235014,15.605898172,19.899953912,18.9536789945,4
9,Childhood Household Environment,point,60.0,86.6666666667,46.6666666667,53.3333333333,46.6666666667,71.4285714286,86.6666666667,80.0,15
10,Childhood Household Environment,pval,0.328947368421,0.0,0.605263157895,0.421052631579,0.578947368421,0.184210526316,0.0,0.0394736842105,15
11,Childhood Household Environment,se,19.8798963196,19.6676808839,13.9277304697,14.9256958367,15.0195583155,22.499011244,20.1073910107,19.4270207317,15
12,Adult Household Environment,point,55.5555555556,44.4444444444,37.5,33.3333333333,22.2222222222,55.5555555556,55.5555555556,44.4444444444,9
13,Adult Household Environment,pval,0.394736842105,0.723684210526,0.618421052632,0.802631578947,1.0,0.276315789474,0.236842105263,0.592105263158,9
14,Adult Household Environment,se,16.7592037622,13.7365919032,21.9601777134,18.6542098283,19.8496501378,16.9104470717,13.2650720771,16.3792117166,9
15,"Education, Employment, Income",point,32.1428571429,35.7142857143,32.1428571429,35.7142857143,35.7142857143,42.8571428571,32.1428571429,35.7142857143,28
16,"Education, Employment, Income",pval,0.986842105263,0.934210526316,0.973684210526,0.934210526316,0.947368421053,0.75,0.973684210526,0.947368421053,28
17,"Education, Employment, Income",se,10.232989621,9.73921083879,8.99618080417,11.2398523778,9.95273595555,11.3151886126,11.1268743233,11.9641151566,28
18,Crime,point,33.3333333333,33.3333333333,33.3333333333,0.0,33.3333333333,33.3333333333,33.3333333333,33.3333333333,3
19,Crime,pval,0.881578947368,0.723684210526,0.513157894737,0.986842105263,0.986842105263,0.5,0.789473684211,0.921052631579,3
20,Crime,se,25.270466779,26.6666666667,20.3891077714,17.3205080757,18.7630501799,23.3750671054,27.0549221199,24.3912232961,3
21,Childhood Health,point,78.5714285714,78.5714285714,76.9230769231,69.2307692308,76.9230769231,85.7142857143,78.5714285714,85.7142857143,14
22,Childhood Health,pval,0.0,0.0394736842105,0.0,0.131578947368,0.0,0.0,0.0263157894737,0.0,14
23,Childhood Health,se,14.5466157992,17.9839442176,14.6634783454,17.3961873738,11.9256422728,16.3368369389,18.0559002948,17.1659331175,14
24,Adult Health,point,67.5675675676,62.1621621622,57.5342465753,61.6438356164,57.5342465753,59.4594594595,62.1621621622,59.4594594595,74
25,Adult Health,pval,0.0,0.0131578947368,0.236842105263,0.0657894736842,0.236842105263,0.0394736842105,0.0,0.0394736842105,74
26,Adult Health,se,4.58565053594,5.25397710714,11.1491144563,9.89471481127,11.4020637592,5.06873546324,5.38202178746,5.13404046351,74
27,Mental Health,point,40.7407407407,51.8518518519,16.6666666667,37.037037037,22.2222222222,46.2962962963,55.5555555556,51.8518518519,54
28,Mental Health,pval,0.75,0.486842105263,1.0,0.789473684211,1.0,0.644736842105,0.407894736842,0.552631578947,54
29,Mental Health,se,14.369373731,15.2879258428,13.1487980649,17.0170932049,13.8140938797,14.4108665403,14.7236675481,13.8232443702,54
30,Drugs and Alcohol,point,0.0,0.0,50.0,75.0,25.0,0.0,0.0,0.0,4
31,Drugs and Alcohol,pval,1.0,1.0,0.421052631579,0.302631578947,0.947368421053,1.0,1.0,1.0,4
32,Drugs and Alcohol,se,20.1393173981,23.0083890117,16.3790980765,24.1704473752,17.779719375,21.2223906181,20.2045461273,20.9531641458,4
