index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,92.0,88.0,48.0,48.0,48.0,88.0,68.0,88.0,25
1,Cognitive Skills,pval,0.0,0.0,0.0131578947368,0.0,0.0131578947368,0.0,0.0,0.0,25
2,Cognitive Skills,se,16.0864332073,17.7267366704,19.074591961,15.5836293866,17.9286695821,20.234346343,20.2687902858,18.9918542095,25
3,Noncognitive Skills,point,19.6581196581,17.9487179487,11.1111111111,7.69230769231,11.1111111111,16.2393162393,14.5299145299,20.5128205128,117
4,Noncognitive Skills,pval,0.0526315789474,0.0789473684211,0.302631578947,0.618421052632,0.302631578947,0.105263157895,0.118421052632,0.0263157894737,117
5,Noncognitive Skills,se,4.77845577348,4.51879628161,4.25853204175,4.51143485217,4.67778095376,4.64101203985,4.60506172356,4.92354132196,117
6,"Mother's Employment, Education, and Income",point,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,4
7,"Mother's Employment, Education, and Income",pval,1.0,0.368421052632,0.0789473684211,0.394736842105,0.0526315789474,1.0,0.0394736842105,0.460526315789,4
8,"Mother's Employment, Education, and Income",se,11.9712740971,12.8886935355,15.1744244667,14.3384833669,14.9963445838,12.7904844016,14.4299578728,14.4337567297,4
9,Childhood Household Environment,point,40.0,6.66666666667,40.0,26.6666666667,46.6666666667,26.6666666667,26.6666666667,40.0,15
10,Childhood Household Environment,pval,0.0,0.578947368421,0.0,0.0394736842105,0.0,0.0921052631579,0.0789473684211,0.0526315789474,15
11,Childhood Household Environment,se,10.6039749772,8.16714829876,9.92718847864,10.7583832152,11.5005720682,10.4808431227,11.944559028,14.7936597574,15
12,Adult Household Environment,point,11.1111111111,22.2222222222,22.2222222222,11.1111111111,22.2222222222,11.1111111111,0.0,0.0,9
13,Adult Household Environment,pval,0.434210526316,0.0394736842105,0.210526315789,0.223684210526,0.197368421053,0.355263157895,1.0,0.644736842105,9
14,Adult Household Environment,se,12.2963566619,9.75329204182,15.399908353,11.7743107921,13.8235793916,13.3573102114,8.23496194429,11.4603969138,9
15,"Education, Employment, Income",point,21.4285714286,17.8571428571,22.2222222222,14.2857142857,28.5714285714,21.4285714286,14.2857142857,21.4285714286,28
16,"Education, Employment, Income",pval,0.0263157894737,0.144736842105,0.0789473684211,0.131578947368,0.0789473684211,0.0394736842105,0.25,0.131578947368,28
17,"Education, Employment, Income",se,7.26405048665,7.73197174329,9.47567419872,7.54844998263,9.82974360174,7.2297624144,7.88883446861,8.55704641091,28
18,Crime,point,33.3333333333,0.0,33.3333333333,0.0,0.0,0.0,0.0,0.0,3
19,Crime,pval,0.0394736842105,0.302631578947,0.25,1.0,1.0,0.315789473684,1.0,0.302631578947,3
20,Crime,se,19.1638060413,15.4149872643,18.2934174721,16.3478274394,13.0077200049,16.6783584721,11.8057705519,17.5441520443,3
21,Childhood Health,point,42.8571428571,35.7142857143,35.7142857143,21.4285714286,42.8571428571,35.7142857143,35.7142857143,35.7142857143,14
22,Childhood Health,pval,0.0,0.0131578947368,0.0657894736842,0.131578947368,0.0,0.0,0.0131578947368,0.0,14
23,Childhood Health,se,13.7578373098,12.9373023317,18.9869796159,11.2069836599,16.2800045252,15.1196648895,13.5307216846,13.2841241941,14
24,Adult Health,point,23.2558139535,14.1176470588,15.2941176471,15.2941176471,17.6470588235,16.6666666667,13.2530120482,15.6626506024,86
25,Adult Health,pval,0.0,0.210526315789,0.171052631579,0.118421052632,0.0657894736842,0.0657894736842,0.25,0.0789473684211,86
26,Adult Health,se,4.75242107891,4.71099780962,5.86930468644,4.18729654545,5.47502420157,4.52635799112,4.65143643883,4.13832525974,86
27,Mental Health,point,26.7857142857,26.7857142857,14.2857142857,20.0,18.1818181818,25.0,28.5714285714,33.9285714286,56
28,Mental Health,pval,0.0789473684211,0.131578947368,0.289473684211,0.210526315789,0.223684210526,0.131578947368,0.0921052631579,0.0,56
29,Mental Health,se,12.045452894,13.0410563781,9.60827556985,12.1980540489,9.99071005237,12.250812744,12.4945165466,10.6346356991,56
30,Drugs and Alcohol,point,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4
31,Drugs and Alcohol,pval,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,4
32,Drugs and Alcohol,se,11.5612404482,12.6482437585,12.5437829712,13.0451308386,12.5830573921,7.72328445721,8.50696309223,8.13132345025,4
