index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,92.3076923077,92.0,92.3076923077,92.0,92.3076923077,92.3076923077,92.0,92.3076923077,26
1,Cognitive Skills,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2,Cognitive Skills,se,5.25963181275,7.62042900977,4.7212625672,4.47950342059,4.99705430883,8.33151995907,13.0147720963,7.15813999112,26
3,Childhood Household Environment,point,61.5384615385,53.8461538462,53.8461538462,53.8461538462,53.8461538462,61.5384615385,38.4615384615,76.9230769231,13
4,Childhood Household Environment,pval,0.214785214785,0.488511488511,0.145854145854,0.36963036963,0.400599400599,0.373626373626,0.65034965035,0.17982017982,13
5,Childhood Household Environment,se,19.1381268783,20.5452508172,10.0660030236,10.3737459317,9.03443366232,24.9714326269,22.8468747592,23.7883946862,13
6,"Mother's Employment, Education, and Income",point,86.6666666667,86.6666666667,86.6666666667,93.3333333333,93.3333333333,80.0,80.0,80.0,15
7,"Mother's Employment, Education, and Income",pval,0.0,0.0,0.0,0.0,0.0,0.0,0.003996003996,0.0,15
8,"Mother's Employment, Education, and Income",se,14.9005231547,15.9445176203,12.8948931842,13.8418359281,11.0249323321,16.6867400033,16.1435245997,15.7081072426,15
9,"Education, Employment, Income",point,86.6666666667,80.0,80.0,78.5714285714,80.0,80.0,60.0,80.0,15
10,"Education, Employment, Income",pval,0.0,0.001998001998,0.0,0.0,0.0,0.0,0.385614385614,0.0,15
11,"Education, Employment, Income",se,10.3811485787,13.9076189626,6.68759706499,7.11986314892,7.60725236421,14.0065661394,17.4244546121,14.860986806,15
12,Crime,point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,4
13,Crime,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401598401598,4
14,Crime,se,12.3363749613,17.4190881198,23.0503871187,22.1119385563,25.7511421712,24.5777641185,32.6084710169,31.6662679401,4
15,Drugs and Alcohol,point,80.0,20.0,80.0,60.0,80.0,100.0,0.0,60.0,5
16,Drugs and Alcohol,pval,0.203796203796,0.799200799201,0.0599400599401,0.308691308691,0.044955044955,0.0,1.0,0.328671328671,5
17,Drugs and Alcohol,se,28.8542861664,30.4274082502,25.2769722213,26.8830611873,25.429120312,30.4885076857,29.7054353126,32.0935570418,5
18,Adult Health,point,73.6842105263,52.6315789474,50.0,50.0,55.5555555556,73.6842105263,57.8947368421,63.1578947368,19
19,Adult Health,pval,0.0529470529471,0.407592407592,0.48951048951,0.455544455544,0.371628371628,0.042957042957,0.310689310689,0.195804195804,19
20,Adult Health,se,13.9832266618,15.011394342,13.3543024216,16.5388703765,14.0042572203,15.2568193605,14.9570621759,14.9557004254,19
21,Mental Health,point,81.8181818182,72.7272727273,90.9090909091,100.0,81.8181818182,81.8181818182,81.8181818182,81.8181818182,11
22,Mental Health,pval,0.0,0.0689310689311,0.0,0.0,0.0,0.0,0.0,0.0,11
23,Mental Health,se,15.075528893,18.1197777145,21.6882144147,21.3720565777,21.9211876912,15.2050409253,20.4763845019,15.7270656288,11
