index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,92.3076923077,92.3076923077,92.3076923077,92.3076923077,92.3076923077,92.3076923077,92.3076923077,92.3076923077,26
1,Cognitive Skills,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2,Cognitive Skills,se,3.14842383336,4.26115854709,8.96174714775,7.32510119479,8.53907213263,3.68142993464,4.80935059326,3.66821947364,26
3,Childhood Household Environment,point,61.5384615385,61.5384615385,53.8461538462,53.8461538462,53.8461538462,84.6153846154,46.1538461538,92.3076923077,13
4,Childhood Household Environment,pval,0.193806193806,0.236763236763,0.193806193806,0.112887112887,0.154845154845,0.0759240759241,0.604395604396,0.0,13
5,Childhood Household Environment,se,18.2003921656,21.702358873,7.52511158187,7.22109685008,7.83529594689,24.6765551886,21.9439774862,19.9227592993,13
6,"Mother's Employment, Education, and Income",point,86.6666666667,86.6666666667,86.6666666667,86.6666666667,93.3333333333,86.6666666667,73.3333333333,86.6666666667,15
7,"Mother's Employment, Education, and Income",pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0849150849151,0.0,15
8,"Mother's Employment, Education, and Income",se,13.3313485036,14.4371293536,10.7797484696,11.135520101,10.0753442979,16.6948147254,17.4524786964,15.3099185626,15
9,"Education, Employment, Income",point,86.6666666667,80.0,86.6666666667,80.0,80.0,86.6666666667,86.6666666667,86.6666666667,15
10,"Education, Employment, Income",pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
11,"Education, Employment, Income",se,9.06424327567,10.5750399153,9.70766850685,10.0444188715,10.4653326714,10.2940106648,12.5484069717,10.9272572316,15
12,Crime,point,25.0,25.0,75.0,50.0,25.0,25.0,25.0,25.0,4
13,Crime,pval,0.971028971029,0.893106893107,0.0,0.521478521479,0.89010989011,0.94005994006,0.811188811189,0.886113886114,4
14,Crime,se,26.5797811359,26.223679117,24.6712455588,24.2379356068,24.086066748,28.0303059553,27.893594996,25.6948394668,4
15,Drugs and Alcohol,point,20.0,40.0,80.0,80.0,60.0,20.0,20.0,20.0,5
16,Drugs and Alcohol,pval,0.986013986014,0.661338661339,0.0899100899101,0.0729270729271,0.306693306693,0.938061938062,0.909090909091,0.942057942058,5
17,Drugs and Alcohol,se,25.3943129238,22.3676973807,25.021038101,23.6010897749,24.814210746,25.972336009,21.3039665558,24.8798912982,5
18,Adult Health,point,63.1578947368,63.1578947368,47.3684210526,47.3684210526,47.3684210526,63.1578947368,52.6315789474,52.6315789474,19
19,Adult Health,pval,0.192807192807,0.174825174825,0.611388611389,0.636363636364,0.585414585415,0.196803196803,0.411588411588,0.487512487512,19
20,Adult Health,se,13.4555462759,12.7131472245,13.365860123,14.4624620264,14.6320050673,13.8052929027,12.4899372195,13.6019840329,19
21,Mental Health,point,100.0,100.0,90.9090909091,90.0,90.9090909091,100.0,100.0,100.0,11
22,Mental Health,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
23,Mental Health,se,15.4280358361,16.7012575063,21.1911573475,21.318427982,21.3127203553,15.3757386401,17.0963846852,14.1843457318,11
