index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,IQ Scores,point,100.0,91.6666666667,83.3333333333,75.0,83.3333333333,100.0,91.6666666667,91.6666666667,12
1,IQ Scores,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2,IQ Scores,se,8.7100522241,9.78571581021,19.8934172701,21.6835292007,17.3429320026,8.07116857606,10.3260679986,7.85777572702,12
3,Achievement Scores,point,100.0,100.0,50.0,66.6666666667,50.0,100.0,100.0,100.0,6
4,Achievement Scores,pval,0.0,0.0,0.486842105263,0.407894736842,0.473684210526,0.0,0.0,0.0,6
5,Achievement Scores,se,17.5093959738,18.7252110339,37.1571395756,37.7511085775,36.8734202754,18.599870045,17.5274777317,20.1105618483,6
6,HOME Scores,point,85.7142857143,85.7142857143,85.7142857143,42.8571428571,85.7142857143,71.4285714286,85.7142857143,71.4285714286,7
7,HOME Scores,pval,0.0,0.131578947368,0.0,0.552631578947,0.0,0.355263157895,0.105263157895,0.171052631579,7
8,HOME Scores,se,25.6299089069,29.3252682335,28.7063231644,20.923847055,29.9358426037,27.7841083609,28.0318728112,27.4543529627,7
9,Parent Income,point,100.0,40.0,60.0,40.0,40.0,60.0,40.0,80.0,5
10,Parent Income,pval,0.0,0.447368421053,0.473684210526,0.460526315789,0.592105263158,0.578947368421,0.421052631579,0.315789473684,5
11,Parent Income,se,37.4287627461,32.0438296329,39.4543373641,35.1308331611,38.8940869542,40.1401055078,36.1478445646,36.6567769757,5
12,Mother's Employment,point,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,5
13,Mother's Employment,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
14,Mother's Employment,se,15.0857199818,24.8842936443,26.9983755197,32.8857671981,28.0,26.068735055,28.5313001407,27.9368806105,5
15,Father at Home,point,16.6666666667,100.0,0.0,66.6666666667,0.0,80.0,100.0,100.0,6
16,Father at Home,pval,0.776315789474,0.0,1.0,0.381578947368,1.0,0.486842105263,0.0,0.0,6
17,Father at Home,se,37.9370567243,27.3121798048,20.9982362575,34.7666966633,23.5925451602,37.1830727171,29.2490482343,27.2945095836,6
