index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,IQ Scores,point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12
1,IQ Scores,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2,IQ Scores,se,1.34280263196,5.54421356854,10.5293611579,10.7197145812,10.5056143906,0.955898891133,6.05771462127,2.26206964179,12
3,Achievement Scores,point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6
4,Achievement Scores,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
5,Achievement Scores,se,7.98084939809,4.52413928359,20.4243481194,13.3916851803,19.1230752704,5.90288527594,8.22147143719,6.11775290321,6
6,HOME Scores,point,100.0,100.0,100.0,100.0,100.0,85.7142857143,28.5714285714,85.7142857143,7
7,HOME Scores,pval,0.0,0.0,0.0,0.0,0.0,0.118421052632,0.618421052632,0.184210526316,7
8,HOME Scores,se,19.8553667549,33.1143901599,8.53584929791,14.0723413569,7.92915281573,27.8113176199,31.8398415543,28.9745990465,7
9,Parent Income,point,100.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,5
10,Parent Income,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
11,Parent Income,se,25.720494934,28.1686649348,29.8804636052,26.068735055,27.8592955919,26.2725258404,30.301409845,22.0430201389,5
12,Mother's Employment,point,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,5
13,Mother's Employment,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.223684210526,0.0,5
14,Mother's Employment,se,12.6574296884,25.2242573309,3.92025777885,13.6111409476,8.62066061701,25.5081686263,29.7014383254,25.7109438096,5
15,Father at Home,point,16.6666666667,33.3333333333,0.0,0.0,0.0,83.3333333333,100.0,100.0,6
16,Father at Home,pval,1.0,0.618421052632,1.0,1.0,1.0,0.381578947368,0.0,0.0,6
17,Father at Home,se,28.7312952968,34.9010017339,8.54981960071,16.6022145591,13.6992906861,35.636102114,27.3487333596,22.3072204851,6
18,Education,point,80.0,80.0,100.0,100.0,80.0,80.0,80.0,80.0,5
19,Education,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
20,Education,se,6.67543283307,8.28865214531,10.9608553898,10.0942922903,10.7670713085,8.57577166494,16.3878431622,10.3398394911,5
21,Employment and Income,point,100.0,83.3333333333,100.0,100.0,100.0,83.3333333333,83.3333333333,83.3333333333,6
22,Employment and Income,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
23,Employment and Income,se,10.2479018915,12.275270311,13.2967333924,18.7979406611,12.1615987202,10.5594021923,13.3260213869,13.4696974182,6
24,Crime,point,25.0,25.0,50.0,25.0,25.0,25.0,25.0,25.0,4
25,Crime,pval,0.986842105263,0.881578947368,0.526315789474,0.907894736842,0.921052631579,0.960526315789,0.855263157895,0.842105263158,4
26,Crime,se,25.8453565683,28.2377127447,26.4354006846,28.1034273991,24.9626914597,29.034160159,31.1951272623,27.225504039,4
27,"Tobacco, Drugs, Alcohol",point,20.0,20.0,80.0,80.0,60.0,20.0,20.0,20.0,5
28,"Tobacco, Drugs, Alcohol",pval,0.960526315789,0.986842105263,0.0263157894737,0.0526315789474,0.25,0.868421052632,0.907894736842,0.907894736842,5
29,"Tobacco, Drugs, Alcohol",se,26.9840758759,19.2052624367,23.4629233458,25.6330378921,23.5915536476,27.7618316803,19.0934911294,20.5520306761,5
30,Self-Reported Health,point,66.6666666667,66.6666666667,100.0,100.0,100.0,66.6666666667,33.3333333333,33.3333333333,3
31,Self-Reported Health,pval,0.171052631579,0.144736842105,0.0,0.0,0.0,0.328947368421,0.881578947368,0.921052631579,3
32,Self-Reported Health,se,25.755636791,27.6711403415,19.8237851113,24.3552332757,20.7228062254,23.8579290746,27.1986411769,25.7858930561,3
33,Hypertension,point,100.0,100.0,40.0,20.0,40.0,100.0,100.0,100.0,5
34,Hypertension,pval,0.0,0.0,0.526315789474,0.736842105263,0.565789473684,0.0,0.0,0.0,5
35,Hypertension,se,17.3367068242,22.7310746421,30.0116936274,31.6682363415,31.3475145214,7.5811400337,17.8944272419,6.5050587602,5
36,Cholesterol,point,66.6666666667,100.0,66.6666666667,66.6666666667,66.6666666667,66.6666666667,100.0,66.6666666667,3
37,Cholesterol,pval,0.486842105263,0.0,0.328947368421,0.328947368421,0.315789473684,0.381578947368,0.0,0.434210526316,3
38,Cholesterol,se,30.2426831323,25.6836353114,28.5142145052,37.7433623768,31.1570254344,36.0933379564,25.1777308083,30.4738407615,3
39,Diabetes,point,50.0,25.0,25.0,100.0,25.0,75.0,25.0,100.0,4
40,Diabetes,pval,0.473684210526,0.710526315789,0.684210526316,0.0,0.736842105263,0.25,0.671052631579,0.0,4
41,Diabetes,se,39.0273745583,36.9328456488,33.2850527541,37.7167226783,31.4750667126,38.8936922681,36.6272715001,39.068091705,4
42,Vitamin D Deficiency,point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1
43,Vitamin D Deficiency,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,Vitamin D Deficiency,se,11.4707866935,41.9481718649,16.1136315834,46.7918121492,19.6012888942,24.9561018099,47.7566932941,41.0391340834,1
45,Obesity,point,71.4285714286,42.8571428571,85.7142857143,71.4285714286,71.4285714286,42.8571428571,28.5714285714,28.5714285714,7
46,Obesity,pval,0.0789473684211,0.631578947368,0.0,0.0921052631579,0.0394736842105,0.578947368421,0.75,0.776315789474,7
47,Obesity,se,23.6758780479,27.5021291584,21.7297135537,21.1273735894,25.5907643115,27.2208643233,24.8756304941,28.1955221387,7
48,Mental Health,point,100.0,100.0,100.0,90.9090909091,100.0,90.9090909091,100.0,100.0,11
49,Mental Health,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
50,Mental Health,se,12.6398225964,9.01081141424,21.7830491993,19.8267104836,21.2536617626,15.4517306753,12.3831350137,10.0246180953,11
