index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,100.0,96.0,100.0,100.0,100.0,100.0,92.0,100.0,25
1,Cognitive Skills,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
2,Cognitive Skills,se,8.23587307231,12.5991321777,3.69493869657,4.26622114745,3.79554756468,13.009063667,23.1681550104,14.1533774768,25
3,Noncognitive Skills,point,70.0854700855,70.0854700855,74.358974359,73.5042735043,76.9230769231,57.264957265,60.6837606838,65.811965812,117
4,Noncognitive Skills,pval,0.0,0.0,0.0,0.0,0.0,0.236842105263,0.105263157895,0.0131578947368,117
5,Noncognitive Skills,se,8.02731051401,8.86257844872,9.79105932296,8.71707463318,8.8918326151,8.61094219856,9.22311247212,8.05961163528,117
6,"Mother's Employment, Education, and Income",point,50.0,25.0,50.0,25.0,50.0,50.0,25.0,50.0,4
7,"Mother's Employment, Education, and Income",pval,0.842105263158,0.973684210526,0.723684210526,0.75,0.644736842105,0.223684210526,0.802631578947,0.25,4
8,"Mother's Employment, Education, and Income",se,13.022697235,15.6674131961,13.2724303504,24.1671707953,12.6910353466,20.2221016207,19.328951223,19.9878021666,4
9,Childhood Household Environment,point,73.3333333333,80.0,60.0,66.6666666667,60.0,64.2857142857,64.2857142857,78.5714285714,15
10,Childhood Household Environment,pval,0.0394736842105,0.0263157894737,0.0657894736842,0.0526315789474,0.131578947368,0.263157894737,0.144736842105,0.0526315789474,15
11,Childhood Household Environment,se,14.7826308718,17.0309228147,8.85577303499,8.44789570376,8.33773087054,21.4654379479,16.4890132857,21.6847033268,15
12,Adult Household Environment,point,77.7777777778,66.6666666667,88.8888888889,77.7777777778,88.8888888889,88.8888888889,55.5555555556,55.5555555556,9
13,Adult Household Environment,pval,0.0,0.0921052631579,0.0,0.0526315789474,0.0,0.0,0.302631578947,0.289473684211,9
14,Adult Household Environment,se,14.8906410491,15.4466654938,14.7190109302,15.182331226,15.9229831308,16.6022933917,17.2586587947,17.6152548455,9
15,"Education, Employment, Income",point,71.4285714286,89.2857142857,74.0740740741,77.7777777778,74.0740740741,71.4285714286,75.0,71.4285714286,28
16,"Education, Employment, Income",pval,0.0131578947368,0.0,0.0,0.0,0.0,0.0263157894737,0.0,0.0,28
17,"Education, Employment, Income",se,11.2019736934,12.6262201716,8.40439920421,10.9287207206,8.19284242145,12.8998915705,11.8657260165,11.3824895794,28
18,Crime,point,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.6666666667,3
19,Crime,pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421052631579,3
20,Crime,se,15.8989866903,22.3508703076,26.3162280665,26.3162280665,26.7214349862,28.772821267,37.3879091484,36.719127808,3
21,Childhood Health,point,64.2857142857,50.0,57.1428571429,50.0,50.0,64.2857142857,42.8571428571,50.0,14
22,Childhood Health,pval,0.144736842105,0.447368421053,0.381578947368,0.552631578947,0.565789473684,0.144736842105,0.736842105263,0.473684210526,14
23,Childhood Health,se,14.5310895813,12.918013809,16.1635335528,14.6578682639,15.0466471836,16.1994677733,13.2200335843,15.415287854,14
24,Adult Health,point,45.2380952381,43.9024390244,50.0,51.8987341772,50.6329113924,38.2716049383,34.1772151899,32.9113924051,84
25,Adult Health,pval,0.75,0.881578947368,0.5,0.328947368421,0.473684210526,0.986842105263,1.0,1.0,84
26,Adult Health,se,6.43386097512,5.18844393024,6.10754684388,5.59664693603,6.11725073952,6.17107668512,5.15437669969,5.16185439203,84
27,Mental Health,point,73.2142857143,82.1428571429,73.2142857143,87.2727272727,76.3636363636,76.7857142857,83.9285714286,78.5714285714,56
28,Mental Health,pval,0.0131578947368,0.0,0.0789473684211,0.0,0.0,0.0,0.0,0.0,56
29,Mental Health,se,14.9564134276,11.9483335859,16.869284954,13.9878261723,14.7350418993,16.1371728252,14.4435831033,10.0201634096,56
30,Drugs and Alcohol,point,75.0,50.0,100.0,75.0,100.0,75.0,50.0,50.0,4
31,Drugs and Alcohol,pval,0.276315789474,0.473684210526,0.0,0.157894736842,0.0,0.197368421053,0.302631578947,0.460526315789,4
32,Drugs and Alcohol,se,23.2336529969,23.0377582263,26.4084261318,28.4303464697,25.4709539118,25.5569062699,25.4156480478,24.8079858079,4
