index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1,outcomes
0,Cognitive Skills,point,48.0,48.0,24.0,24.0,24.0,60.0,44.0,56.0,25
1,Cognitive Skills,pval,0.0394736842105,0.0131578947368,0.236842105263,0.157894736842,0.197368421053,0.0,0.0,0.0,25
2,Cognitive Skills,se,18.2193301531,14.3456087786,19.7155454562,14.0448203903,18.2528882126,18.8150742104,14.2973373745,16.5519490557,25
3,Noncognitive Skills,point,9.40170940171,7.69230769231,5.1724137931,4.31034482759,5.1724137931,10.2564102564,9.40170940171,11.9658119658,117
4,Noncognitive Skills,pval,0.486842105263,0.684210526316,0.907894736842,0.986842105263,0.894736842105,0.342105263158,0.447368421053,0.315789473684,117
5,Noncognitive Skills,se,4.02655163581,4.10565771047,5.18383059325,5.91262597526,6.08705868577,3.99155066411,4.19383857299,4.28233765762,117
6,"Mother's Employment, Education, and Income",point,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,4
7,"Mother's Employment, Education, and Income",pval,0.986842105263,0.986842105263,0.25,0.236842105263,0.236842105263,0.973684210526,0.973684210526,0.973684210526,4
8,"Mother's Employment, Education, and Income",se,11.3105228848,11.6923783599,19.0302981921,18.7547558656,19.7826106147,9.5785398944,13.2656130725,10.6915627948,4
9,Childhood Household Environment,point,6.66666666667,13.3333333333,6.66666666667,13.3333333333,6.66666666667,14.2857142857,20.0,26.6666666667,15
10,Childhood Household Environment,pval,0.657894736842,0.434210526316,0.697368421053,0.315789473684,0.618421052632,0.223684210526,0.25,0.197368421053,15
11,Childhood Household Environment,se,8.28820817288,10.9487868665,10.1387587929,9.72641770152,9.59267465525,10.4748786154,14.0981481439,14.7697859455,15
12,Adult Household Environment,point,0.0,0.0,12.5,0.0,11.1111111111,0.0,0.0,0.0,9
13,Adult Household Environment,pval,1.0,1.0,0.197368421053,0.697368421053,0.407894736842,0.618421052632,1.0,1.0,9
14,Adult Household Environment,se,10.0122434254,8.01098444501,14.829890115,12.0022541359,14.7544832402,10.7790757794,8.57511498024,9.63002791949,9
15,"Education, Employment, Income",point,10.7142857143,7.14285714286,0.0,3.57142857143,0.0,10.7142857143,3.57142857143,7.14285714286,28
16,"Education, Employment, Income",pval,0.407894736842,0.631578947368,0.881578947368,1.0,1.0,0.421052631579,0.907894736842,0.592105263158,28
17,"Education, Employment, Income",se,6.2575385005,5.97399640784,7.30979761647,6.78456139821,6.33460533809,7.02633254409,6.42715192368,6.90376064449,28
18,Crime,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
19,Crime,pval,1.0,1.0,0.986842105263,0.986842105263,0.986842105263,0.276315789474,1.0,0.315789473684,3
20,Crime,se,15.9845807769,13.0002249193,7.83334930674,3.8490017946,7.83334930674,17.0139261845,14.951187635,18.0574672852,3
21,Childhood Health,point,28.5714285714,28.5714285714,46.1538461538,30.7692307692,30.7692307692,21.4285714286,14.2857142857,21.4285714286,14
22,Childhood Health,pval,0.184210526316,0.144736842105,0.0,0.0657894736842,0.0789473684211,0.276315789474,0.276315789474,0.263157894737,14
23,Childhood Health,se,17.0394273712,14.8186596414,14.6187894794,11.7740993298,14.7739566237,14.8919220738,11.9718741242,15.1296171416,14
24,Adult Health,point,27.027027027,31.0810810811,12.3287671233,13.698630137,9.58904109589,31.0810810811,27.027027027,25.6756756757,74
25,Adult Health,pval,0.0,0.0,0.368421052632,0.223684210526,0.460526315789,0.0,0.0,0.0,74
26,Adult Health,se,5.54323276416,5.5310564493,10.9839089572,7.89467920593,10.5642774956,5.64957212811,5.58534724295,5.18684360096,74
27,Mental Health,point,0.0,7.40740740741,0.0,0.0,0.0,1.85185185185,1.85185185185,1.85185185185,54
28,Mental Health,pval,1.0,0.473684210526,1.0,1.0,1.0,1.0,1.0,1.0,54
29,Mental Health,se,6.58899174217,9.85558357281,6.4716377306,5.64634919171,7.75150083162,7.96598001621,9.23290620747,7.73739456061,54
30,Drugs and Alcohol,point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
31,Drugs and Alcohol,pval,1.0,1.0,0.473684210526,1.0,0.473684210526,1.0,1.0,1.0,4
32,Drugs and Alcohol,se,6.78620892538,6.23902545246,14.4337567297,13.8020678169,13.2246115587,4.90032222356,5.61951486949,4.90032222356,4
