variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
ssiclaim30,Health,30,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim31,Health,31,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim32,Health,32,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim33,Health,33,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim34,Health,34,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim35,Health,35,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim36,Health,36,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim37,Health,37,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim38,Health,38,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim39,Health,39,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim40,Health,40,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim41,Health,41,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim42,Health,42,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim43,Health,43,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim44,Health,44,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim45,Health,45,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim46,Health,46,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim47,Health,47,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim48,Health,48,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim49,Health,49,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim50,Health,50,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim51,Health,51,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim52,Health,52,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim53,Health,53,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim54,Health,54,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim55,Health,55,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim56,Health,56,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim57,Health,57,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim58,Health,58,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim59,Health,59,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim60,Health,60,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim61,Health,61,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim62,Health,62,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim63,Health,63,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim64,Health,64,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim65,Health,65,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim66,Health,66,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim67,Health,67,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim68,Health,68,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim69,Health,69,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim70,Health,70,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim71,Health,71,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim72,Health,72,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim73,Health,73,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim74,Health,74,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim75,Health,75,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim76,Health,76,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim77,Health,77,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim78,Health,78,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssiclaim79,Health,79,Supplemental Security Income Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
