	(1)	(2)	(3)	(4)	(5)	(6)
	abcZc	abcZt	abcZXc	abcZXt	abcZLc	abcZLt
VARIABLES	si30y_inc_labor	si30y_inc_labor	si30y_inc_labor	si30y_inc_labor	si30y_inc_labor	si30y_inc_labor
						
m_ed0y	1,118.825	3,182.189	-655.396	2,809.800	-2,048.917	-907.345
	(1,922.374)	(4,079.940)	(1,630.680)	(4,645.056)	(2,437.556)	(3,331.414)
piatmath			76.010	-406.692	358.559	106.426
			(280.636)	(541.580)	(425.794)	(564.333)
years_30y			3,267.429**	12,065.478***	2,221.816	17,251.381***
			(1,311.682)	(4,322.113)	(2,227.515)	(5,187.102)
si21y_inc_labor			0.669**	-0.167	0.561	0.424
			(0.310)	(0.518)	(0.486)	(0.413)
si34y_bmi					-108.403	-1,090.877**
					(408.783)	(523.658)
Constant	14,411.303	4,436.275	-25,258.113	-113,348.865	-19,952.864	-162,353.622*
	(20,535.425)	(40,973.951)	(27,842.709)	(96,245.638)	(45,678.265)	(82,531.680)
						
Observations	67	65	54	56	33	43
R-squared	0.006	0.008	0.235	0.200	0.214	0.510
