	(1)	(2)	(3)
	abcZf	abcZXf	abcZLf
VARIABLES	si30y_inc_labor	si30y_inc_labor	si30y_inc_labor
			
treat	1,216.048	-48,919.158	-206,063.349*
	(45,686.798)	(74,072.562)	(103,059.088)
male	5,452.397	-3,811.694	-7,828.471
	(6,988.604)	(5,701.811)	(7,557.656)
treatmale	11,229.521	22,244.455*	11,771.622
	(13,221.603)	(12,184.912)	(12,671.016)
m_ed0y	918.774	-562.317	-2,106.622
	(1,945.593)	(1,607.584)	(2,394.617)
treatm_ed0y	355.446	-214.830	-3,286.351
	(4,185.450)	(3,268.364)	(4,714.244)
piatmath		43.676	291.760
		(272.470)	(410.319)
treatpiatmath		-383.987	335.283
		(764.057)	(780.034)
years_30y		3,490.984**	2,758.518
		(1,330.035)	(2,443.309)
treatyears_30y		6,361.817*	17,496.494***
		(3,368.374)	(5,636.096)
si21y_inc_labor		0.713**	0.626
		(0.304)	(0.489)
treatsi21y_inc_labor		-0.206	0.706
		(0.484)	(0.650)
si34y_bmi			-148.492
			(421.369)
treatsi34y_bmi			-652.788
			(653.269)
Constant	14,057.024	-24,761.617	-16,283.653
	(20,513.599)	(28,658.412)	(48,950.866)
			
Observations	119	97	65
R-squared	0.060	0.341	0.622
