	(1)	(2)	(3)
	cnlsyZ	cnlsyZX	cnlsyZL
VARIABLES	si30y_inc_trans_pub	si30y_inc_trans_pub	si30y_inc_trans_pub
			
male	6,371.988	15,941.192	48,142.565
	(14,567.924)	(29,636.339)	(51,920.418)
black	-6,397.902	-6,216.537	-44,550.302
	(12,180.787)	(21,334.194)	(36,691.920)
m_ed0y	53.009	-1,176.739	-4,738.723
	(3,544.537)	(3,099.557)	(5,460.951)
piatmath		-256.286	-1,510.496
		(978.119)	(1,591.640)
years_30y		-18,750.624	-27,642.361
		(14,560.172)	(29,040.703)
si21y_inc_trans_pub		-0.017	0.002
		(0.046)	(0.087)
si34y_bmi		676.058	1,058.209
		(1,174.058)	(1,198.407)
inc_trans_pub28			0.500***
			(0.010)
Constant	30,228.903	272,805.185	545,718.403
	(38,933.285)	(287,288.787)	(531,025.558)
			
Observations	1,052	393	181
R-squared	0.000	0.018	0.071
