age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
9,6,7,8,8,10,5,10,6,11,11,7,6,7
10.23077,10.25641,10.23077,10.25641,10.25641,10.25641,10.23077,10.25641,10.25641,10.23077,10.23077,10.23077,10.25641,10.23077
5.10475,5.131759,5.10475,5.131759,5.131759,5.131759,5.10475,5.131759,5.131759,5.10475,5.10475,5.10475,5.131759,5.10475
-0.5447402,-1.878929,-1.429943,-0.9960587,-0.9960587,-0.1131885,-2.315146,-0.1131885,-1.878929,0.3404626,0.3404626,-1.429943,-1.878929,-1.429943
0.4583632,0.06926816,0.1557337,0.2854321,0.2854321,0.6312944,0.02603537,0.6312944,0.06926816,0.7885045,0.7885045,0.1557337,0.06926816,0.1557337
0.2929661,0.0301271,0.0763667,0.1596108,0.1596108,0.4549406,0.01030248,0.4549406,0.0301271,0.6332459,0.6332459,0.0763667,0.0301271,0.0763667
8,8,10,8,8,10,6,10,8,10,10,8,4,10
9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143,9.257143
4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579,4.632579
-0.5840812,-0.5840812,0.3451389,-0.5840812,-0.5840812,0.3451389,-1.513301,0.3451389,-0.5840812,0.3451389,0.3451389,-0.5840812,-2.442521,0.3451389
0.4514172,0.4514172,0.79704,0.4514172,0.4514172,0.79704,0.1403567,0.79704,0.4514172,0.79704,0.79704,0.4514172,0.01938878,0.79704
0.2795828,0.2795828,0.635005,0.2795828,0.2795828,0.635005,0.06510157,0.635005,0.2795828,0.635005,0.635005,0.2795828,0.007292533,0.635005
