fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth
14,14,17,15,20,6,16,23,19,14
19.2,19.2,19.24,19.24,19.2,19.2,19.2,19.24,19.24,19.2
9.573699,9.573699,9.614729,9.614729,9.573699,9.573699,9.573699,9.614729,9.614729,9.573699
-1.680597,-1.680597,-0.7224029,-1.367406,0.2585533,-4.26613,-1.034213,1.212605,-0.07740031,-1.680597
0.08412555,0.08412555,0.3429378,0.1448126,0.7218401,1.651286e-05,0.2358431,0.9406742,0.5978357,0.08412555
0.04642065,0.04642065,0.2350234,0.08574911,0.60201,9.944659e-06,0.1505182,0.8873595,0.4691525,0.04642065
14,15,16,16,16,17,17,22,15,6
19.25333,19.24,19.25333,19.25333,19.25333,19.24,19.24,19.25333,19.24,19.25333
9.628425,9.614729,9.628425,9.628425,9.628425,9.614729,9.614729,9.628425,9.614729,9.628425
-1.693001,-1.367406,-1.048458,-1.048458,-1.048458,-0.7224029,-0.7224029,0.8851734,-1.367406,-4.271176
0.08200362,0.1448126,0.2311748,0.2311748,0.2311748,0.3429378,0.3429378,0.8896569,0.1448126,1.58115e-05
0.04522759,0.08574911,0.1472139,0.1472139,0.1472139,0.2350234,0.2350234,0.8119684,0.08574911,9.722231e-06
