age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
9,5,8,8,7,13,8,9,9,10,15,10,9,12
11.75556,11.75556,11.73333,11.73333,11.75556,11.75556,11.73333,11.75556,11.75556,11.73333,11.75556,11.73333,11.75556,11.73333
5.880815,5.880815,5.857571,5.857571,5.880815,5.880815,5.857571,5.880815,5.880815,5.857571,5.880815,5.857571,5.880815,5.857571
-1.136293,-2.785751,-1.542546,-1.542546,-1.961022,0.5131647,-1.542546,-1.136293,-1.136293,-0.7161818,1.337894,-0.7161818,-1.136293,0.1101818
0.2301371,0.006680391,0.1239774,0.1239774,0.05573186,0.8277493,0.1239774,0.2301371,0.2301371,0.3787606,0.9643464,0.3787606,0.2301371,0.7030302
0.1279169,0.002670194,0.06147054,0.06147054,0.02493822,0.6960819,0.06147054,0.1279169,0.1279169,0.2369395,0.9095344,0.2369395,0.1279169,0.5438674
10,5,6,7,7,11,8,9,8,12,11,9,9,10
10.15385,10.02564,10.15385,10.02564,10.02564,10.02564,10.15385,10.02564,10.15385,10.15385,10.02564,10.02564,10.02564,10.15385
5.024148,4.891234,5.024148,4.891234,4.891234,4.891234,5.024148,4.891234,5.024148,5.024148,4.891234,4.891234,4.891234,5.024148
-0.06863654,-2.272387,-1.853187,-1.36807,-1.36807,0.4405648,-0.9609116,-0.4637524,-0.9609116,0.8236385,0.4405648,-0.4637524,-0.4637524,-0.06863654
0.6494977,0.03001734,0.07381898,0.173937,0.173937,0.8193949,0.2990845,0.4937585,0.2990845,0.9043436,0.8193949,0.4937585,0.4937585,0.6494977
0.4726395,0.01153158,0.0319278,0.08564516,0.08564516,0.6702359,0.1682983,0.3214126,0.1682983,0.7949275,0.6702359,0.3214126,0.3214126,0.4726395
3,2,1,4,2,4,0,4,2,4,3,2,4,1
2.76,3.52,2.76,3.52,3.52,3.52,3.52,3.52,3.52,3.52,2.76,3.52,3.52,2.76
0.4224,0.7713391,0.4224,0.7713391,0.7713391,0.7713391,0.7713391,0.7713391,0.7713391,0.7713391,0.4224,0.7713391,0.7713391,0.4224
0.3692745,-1.730696,-2.708013,0.5465357,-1.730696,0.5465357,-4.007929,0.5465357,-1.730696,0.5465357,0.3692745,-1.730696,0.5465357,-2.708013
1,0.2347826,0.12,1,0.2347826,1,0.005217391,1,0.2347826,1,1,0.2347826,1,0.12
0.6440384,0.04175296,0.003384371,0.7076511,0.04175296,0.7076511,3.062681e-05,0.7076511,0.04175296,0.7076511,0.6440384,0.04175296,0.7076511,0.003384371
13,9,9,10,11,14,9,13,11,14,15,8,4,10
12.67347,12.67347,12.67347,12.73469,12.67347,12.73469,12.67347,12.67347,12.67347,12.73469,12.67347,12.73469,12.73469,12.73469
6.295462,6.295462,6.295462,6.359053,6.295462,6.359053,6.295462,6.295462,6.295462,6.359053,6.295462,6.359053,6.359053,6.359053
0.1301398,-1.464073,-1.464073,-1.084457,-0.6669664,0.5017639,-1.464073,0.1301398,-0.6669664,0.5017639,0.927246,-1.877568,-3.463789,-1.084457
0.7044383,0.1384285,0.1384285,0.2417994,0.392157,0.820098,0.1384285,0.7044383,0.392157,0.820098,0.9126257,0.06459222,0.0006007258,0.2417994
0.5517721,0.07158705,0.07158705,0.139081,0.2523968,0.6920832,0.07158705,0.5517721,0.2523968,0.6920832,0.8231006,0.03022014,0.0002663116,0.139081
11,11,7,5,13,11,9,11,11,11,11,9,7,9
11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4
5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419,5.514419
-0.1703374,-0.1703374,-1.873712,-2.725399,0.6813498,-0.1703374,-1.022025,-0.1703374,-0.1703374,-0.1703374,-0.1703374,-1.022025,-1.873712,-1.022025
0.600756,0.600756,0.06917415,0.00868381,0.871482,0.600756,0.2708086,0.600756,0.600756,0.600756,0.600756,0.2708086,0.06917415,0.2708086
0.4323724,0.4323724,0.03048507,0.00321119,0.7521749,0.4323724,0.1533846,0.4323724,0.4323724,0.4323724,0.4323724,0.1533846,0.03048507,0.1533846
4,3,4,4,3,2,4,2,4,4,4,2,2,4
3.586207,2.793103,3.586207,3.586207,2.793103,3.586207,3.586207,3.586207,3.586207,3.586207,3.586207,3.586207,3.586207,3.586207
0.6870128,0.3709869,0.6870128,0.6870128,0.3709869,0.6870128,0.6870128,0.6870128,0.6870128,0.6870128,0.6870128,0.6870128,0.6870128,0.6870128
0.4992302,0.3396831,0.4992302,0.4992302,0.3396831,-1.913716,0.4992302,-1.913716,0.4992302,0.4992302,0.4992302,-1.913716,-1.913716,0.4992302
1,1,1,1,1,0.2030651,1,0.2030651,1,1,1,0.2030651,0.2030651,1
0.6911914,0.6329524,0.6911914,0.6911914,0.6329524,0.02782825,0.6911914,0.02782825,0.6911914,0.6911914,0.6911914,0.02782825,0.02782825,0.6911914
