age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
5,7,7,5,7,7,7,5,7,5,5,5,7,7
5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444,5.444444
1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802,1.935802
-0.3194383,1.118034,1.118034,-0.3194383,1.118034,1.118034,1.118034,-0.3194383,1.118034,-0.3194383,-0.3194383,-0.3194383,1.118034,1.118034
0.6289855,1,1,0.6289855,1,1,1,0.6289855,1,0.6289855,0.6289855,0.6289855,1,1
0.3746971,0.8682238,0.8682238,0.3746971,0.8682238,0.8682238,0.8682238,0.3746971,0.8682238,0.3746971,0.3746971,0.3746971,0.8682238,0.8682238
3,5,3,5,5,5,5,3,5,5,3,2,3,5
4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,4.130435,3.478261,4.130435,4.130435
1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,1.231434,0.820956,1.231434,1.231434
-1.018685,0.7836039,-1.018685,0.7836039,0.7836039,0.7836039,0.7836039,-1.018685,0.7836039,0.7836039,-1.018685,-1.631515,-1.018685,0.7836039
0.4037267,1,0.4037267,1,1,1,1,0.4037267,1,1,0.4037267,0.2546584,0.4037267,1
0.1541762,0.7833637,0.1541762,0.7833637,0.7833637,0.7833637,0.7833637,0.1541762,0.7833637,0.7833637,0.1541762,0.05139082,0.1541762,0.7833637
