base,age5,age15,age34,fall
3,7,7,7,7
6.942857,6.942857,6.942857,6.942857,6.942857
2.500631,2.500631,2.500631,2.500631,2.500631
-2.493367,0.03613576,0.03613576,0.03613576,0.03613576
0.03246031,0.7355792,0.7355792,0.7355792,0.7355792
0.006326894,0.5144129,0.5144129,0.5144129,0.5144129
5,7,7,5,5
6.942857,6.942857,6.942857,6.942857,6.942857
2.500631,2.500631,2.500631,2.500631,2.500631
-1.228616,0.03613576,0.03613576,-1.228616,-1.228616
0.2596218,0.7355792,0.7355792,0.2596218,0.2596218
0.109608,0.5144129,0.5144129,0.109608,0.109608
