age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
8,6,8,8,6,7,8,6,8,6,6,6,6,6
6.4,6.4,6.4,6.4,6.4,5.8,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
2.094545,2.094545,2.094545,2.094545,2.094545,1.687273,2.094545,2.094545,2.094545,2.094545,2.094545,2.094545,2.094545,2.094545
1.105542,-0.2763854,1.105542,1.105542,-0.2763854,0.9238226,1.105542,-0.2763854,1.105542,-0.2763854,-0.2763854,-0.2763854,-0.2763854,-0.2763854
1,0.6298109,1,1,0.6298109,1,1,0.6298109,1,0.6298109,0.6298109,0.6298109,0.6298109,0.6298109
0.8655375,0.391126,0.8655375,0.8655375,0.391126,0.8222107,0.8655375,0.391126,0.8655375,0.391126,0.391126,0.391126,0.391126,0.391126
5,7,5,7,5,5,5,5,7,5,7,3,7,7
5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273,1.687273
-0.6158818,0.9238226,-0.6158818,0.9238226,-0.6158818,-0.6158818,-0.6158818,-0.6158818,0.9238226,-0.6158818,0.9238226,-2.155586,0.9238226,0.9238226
0.5120235,1,0.5120235,1,0.5120235,0.5120235,0.5120235,0.5120235,1,0.5120235,1,0.08504399,1,1
0.2689863,0.8222107,0.2689863,0.8222107,0.2689863,0.2689863,0.2689863,0.2689863,0.8222107,0.2689863,0.8222107,0.015558,0.8222107,0.8222107
