age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
7,5,11,9,5,7,5,7,7,9,1,7,3,7
8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806,8.225806
4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178,4.099178
-0.6054433,-1.593272,1.370214,0.3823853,-1.593272,-0.6054433,-1.593272,-0.6054433,-0.6054433,0.3823853,-3.568929,-0.6054433,-2.581101,-0.6054433
0.454241,0.1281018,0.9747458,0.8166178,0.1281018,0.454241,0.1281018,0.454241,0.454241,0.8166178,0.0003639946,0.454241,0.01395313,0.454241
0.2724422,0.0555496,0.9146899,0.6489122,0.0555496,0.2724422,0.0555496,0.2724422,0.2724422,0.6489122,0.0001792217,0.2724422,0.004924295,0.2724422
15,11,9,15,11,9,7,11,11,11,3,11,7,11
11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667,11.66667
5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114,5.788114
1.385512,-0.2771024,-1.108409,1.385512,-0.2771024,-1.108409,-1.939716,-0.2771024,-0.2771024,-0.2771024,-3.602331,-0.2771024,-1.939716,-0.2771024
0.9686657,0.555635,0.2397879,0.9686657,0.555635,0.2397879,0.05883392,0.555635,0.555635,0.555635,0.0003469999,0.555635,0.05883392,0.555635
0.917052,0.3908508,0.1338425,0.917052,0.3908508,0.1338425,0.02620708,0.3908508,0.3908508,0.3908508,0.0001576885,0.3908508,0.02620708,0.3908508
5,7,6,6,7,7,4,7,7,8,1,3,4,9
7.758621,7.758621,7.724138,7.724138,7.758621,7.758621,7.724138,7.758621,7.758621,7.724138,7.758621,7.758621,7.724138,7.758621
3.884265,3.884265,3.847272,3.847272,3.884265,3.884265,3.847272,3.884265,3.884265,3.847272,3.884265,3.884265,3.847272,3.884265
-1.399708,-0.3849198,-0.8790136,-0.8790136,-0.3849198,-0.3849198,-1.898669,-0.3849198,-0.3849198,0.1406422,-3.429286,-2.414497,-1.898669,0.6298688
0.1784615,0.5501642,0.3519228,0.3519228,0.5501642,0.5501642,0.07438479,0.5501642,0.5501642,0.7484057,0.0006637548,0.02234641,0.07438479,0.8805666
0.08080033,0.3501484,0.189697,0.189697,0.3501484,0.3501484,0.02880399,0.3501484,0.3501484,0.5559237,0.0003025861,0.007878476,0.02880399,0.7356098
6,3,6,6,7,4,5,3,7,7,2,8,4,3
6.086957,6.217391,6.086957,6.086957,6.217391,6.086957,6.217391,6.217391,6.217391,6.217391,6.086957,6.086957,6.086957,6.217391
2.94896,3.089387,2.94896,2.94896,3.089387,2.94896,3.089387,3.089387,3.089387,3.089387,2.94896,2.94896,2.94896,3.089387
-0.05063697,-1.830492,-0.05063697,-0.05063697,0.4452547,-1.215287,-0.6926184,-1.830492,0.4452547,0.4452547,-2.379938,1.114013,-1.215287,-1.830492
0.7070938,0.09328308,0.7070938,0.7070938,0.8547776,0.2548122,0.4486472,0.09328308,0.8547776,0.8547776,0.02867142,0.9655404,0.2548122,0.09328308
0.4798074,0.03358823,0.4798074,0.4798074,0.6719321,0.1121283,0.2442745,0.03358823,0.6719321,0.6719321,0.008657787,0.8673633,0.1121283,0.03358823
