fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall,fall.1
18,15,17,5,26,17,16,6,9,11,18,18
19.74026,19.75325,19.75325,19.75325,19.74026,19.75325,19.74026,19.74026,19.75325,19.75325,19.74026,19.74026
9.865003,9.878334,9.878334,9.878334,9.865003,9.878334,9.865003,9.865003,9.878334,9.878334,9.865003,9.865003
-0.5540711,-1.512337,-0.8759984,-4.694029,1.993002,-0.8759984,-1.190839,-4.374681,-3.421352,-2.785014,-0.5540711,-0.5540711
0.4058347,0.1130002,0.2863306,1.604186e-06,0.9909957,0.2863306,0.1885545,9.408204e-06,0.0006634592,0.005722895,0.4058347,0.4058347
0.2897651,0.0652241,0.1905155,1.339381e-06,0.9768694,0.1905155,0.1168583,6.080523e-06,0.0003115531,0.002676274,0.2897651,0.2897651
16,17,19,4,15,15,14,4,14,7,17,17
18.25352,18.23944,18.23944,18.25352,18.23944,18.23944,18.25352,18.25352,18.25352,18.23944,18.23944,18.23944
9.128624,9.114134,9.114134,9.128624,9.114134,9.114134,9.128624,9.128624,9.128624,9.114134,9.114134,9.114134
-0.7458629,-0.4105505,0.2519287,-4.717583,-1.07303,-1.07303,-1.407816,-4.717583,-1.407816,-3.722947,-0.4105505,-0.4105505
0.337309,0.468002,0.7225095,1.293514e-06,0.22622,0.22622,0.1373487,1.293514e-06,0.1373487,0.0002010541,0.468002,0.468002
0.2278751,0.3407011,0.5994519,1.193317e-06,0.1416289,0.1416289,0.07959276,1.193317e-06,0.07959276,9.845546e-05,0.3407011,0.3407011
24,36,34,10,38,32,30,8,20,26,36,36
38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166,38.25166
19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668,19.12668
-3.258709,-0.5148518,-0.9721613,-6.459875,-0.05754226,-1.429471,-1.88678,-6.917185,-4.173328,-2.801399,-0.5148518,-0.5148518
0.001037337,0.3867555,0.2272199,1.950719e-11,0.5683038,0.113266,0.04722448,3.766309e-13,2.662004e-05,0.00457268,0.3867555,0.3867555
0.0005596025,0.3033283,0.1654852,5.239466e-11,0.4770566,0.07643449,0.02959494,2.303535e-12,1.500913e-05,0.002544076,0.3033283,0.3033283
