age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
26,26,14,22,18,26,6,20,20,20,6,20,14,14
22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157,22.74157
11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638,11.36638
0.9664889,0.9664889,-2.592857,-0.2199596,-1.406408,0.9664889,-4.965754,-0.8131838,-0.8131838,-0.8131838,-4.965754,-0.8131838,-2.592857,-2.592857
0.8994993,0.8994993,0.009598951,0.5308158,0.1307872,0.8994993,3.600889e-07,0.3009651,0.3009651,0.3009651,3.600889e-07,0.3009651,0.009598951,0.009598951
0.8331002,0.8331002,0.004759123,0.4129513,0.0798015,0.8331002,3.421742e-07,0.2080563,0.2080563,0.2080563,3.421742e-07,0.2080563,0.004759123,0.004759123
36,37,29,23,33,29,8,34,29,24,8,18,20,35
33.25191,33.24427,33.24427,33.24427,33.24427,33.24427,33.25191,33.25191,33.24427,33.25191,33.25191,33.25191,33.25191,33.24427
16.62694,16.61919,16.61919,16.61919,16.61919,16.61919,16.62694,16.62694,16.61919,16.62694,16.62694,16.62694,16.62694,16.61919
0.6739459,0.9212742,-1.041115,-2.512907,-0.05992028,-1.041115,-6.192814,0.1834631,-1.041115,-2.268951,-6.192814,-3.7404,-3.249917,0.430677
0.8227734,0.8802018,0.2114251,0.01079798,0.5739889,0.2114251,1.189821e-10,0.6669511,0.2114251,0.02030656,1.189821e-10,0.0001739698,0.001104158,0.7519451
0.7498272,0.8215464,0.1489111,0.005987052,0.4761096,0.1489111,2.954965e-10,0.5727827,0.1489111,0.01163564,2.954965e-10,9.186381e-05,0.0005771932,0.6666484
13,24,20,18,15,17,5,26,17,16,6,9,11,18
19.75325,19.74026,19.74026,19.74026,19.75325,19.75325,19.75325,19.74026,19.75325,19.74026,19.74026,19.75325,19.75325,19.74026
9.878334,9.865003,9.865003,9.865003,9.878334,9.878334,9.878334,9.865003,9.878334,9.865003,9.865003,9.878334,9.878334,9.865003
-2.148675,1.356234,0.08269717,-0.5540711,-1.512337,-0.8759984,-4.694029,1.993002,-0.8759984,-1.190839,-4.374681,-3.421352,-2.785014,-0.5540711
0.03114981,0.9557474,0.6574223,0.4058347,0.1130002,0.2863306,1.604186e-06,0.9909957,0.2863306,0.1885545,9.408204e-06,0.0006634592,0.005722895,0.4058347
0.01583008,0.9124876,0.5329538,0.2897651,0.0652241,0.1905155,1.339381e-06,0.9768694,0.1905155,0.1168583,6.080523e-06,0.0003115531,0.002676274,0.2897651
16,18,15,17,18,20,3,14,16,15,3,11,12,20
18.73973,18.73973,18.75342,18.75342,18.73973,18.73973,18.75342,18.73973,18.73973,18.75342,18.75342,18.75342,18.73973,18.73973
9.36444,9.36444,9.378521,9.378521,9.36444,9.36444,9.378521,9.36444,9.36444,9.378521,9.378521,9.378521,9.36444,9.36444
-0.8952952,-0.2417297,-1.225633,-0.5725586,-0.2417297,0.4118358,-5.144081,-1.548861,-0.8952952,-1.225633,-5.144081,-2.531782,-2.202426,0.4118358
0.2825254,0.5342437,0.1811756,0.4017604,0.5342437,0.7727137,8.345798e-08,0.1074667,0.2825254,0.1811756,8.345798e-08,0.01201506,0.02789458,0.7727137
0.1853147,0.4044948,0.1101684,0.2834718,0.4044948,0.6597701,1.344168e-07,0.06070761,0.1853147,0.1101684,1.344168e-07,0.005674219,0.01381761,0.6597701
