variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
educost0,Costs,0,Educational Costs,,,+,,,,,,,,,,,,,
educost1,Costs,1,Educational Costs,,,+,,,,,,,,,,,,,
educost2,Costs,2,Educational Costs,,,+,,,,,,,,,,,,,
educost3,Costs,3,Educational Costs,,,+,,,,,,,,,,,,,
educost4,Costs,4,Educational Costs,,,+,,,,,,,,,,,,,
educost5,Costs,5,Educational Costs,,,+,,,,,,,,,,,,,
educost6,Costs,6,Educational Costs,,,+,,,,,,,,,,,,,
educost7,Costs,7,Educational Costs,,,+,,,,,,,,,,,,,
educost8,Costs,8,Educational Costs,,,+,,,,,,,,,,,,,
educost9,Costs,9,Educational Costs,,,+,,,,,,,,,,,,,
educost10,Costs,10,Educational Costs,,,+,,,,,,,,,,,,,
educost11,Costs,11,Educational Costs,,,+,,,,,,,,,,,,,
educost12,Costs,12,Educational Costs,,,+,,,,,,,,,,,,,
educost13,Costs,13,Educational Costs,,,+,,,,,,,,,,,,,
educost14,Costs,14,Educational Costs,,,+,,,,,,,,,,,,,
educost15,Costs,15,Educational Costs,,,+,,,,,,,,,,,,,
educost16,Costs,16,Educational Costs,,,+,,,,,,,,,,,,,
educost17,Costs,17,Educational Costs,,,+,,,,,,,,,,,,,
educost18,Costs,18,Educational Costs,,,+,,,,,,,,,,,,,
educost19,Costs,19,Educational Costs,,,+,,,,,,,,,,,,,
educost20,Costs,20,Educational Costs,,,+,,,,,,,,,,,,,
educost21,Costs,21,Educational Costs,,,+,,,,,,,,,,,,,
educost22,Costs,22,Educational Costs,,,+,,,,,,,,,,,,,
educost23,Costs,23,Educational Costs,,,+,,,,,,,,,,,,,
educost24,Costs,24,Educational Costs,,,+,,,,,,,,,,,,,
educost25,Costs,25,Educational Costs,,,+,,,,,,,,,,,,,
educost26,Costs,26,Educational Costs,,,+,,,,,,,,,,,,,
