variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,only_abc,only_care
ip_p_inc1y6m,Parent Income,1.5,Parental income,,parent_income,+,ip_p_inc1y6m,m_iq0y,prem_birth,hh_sibs0y,0,0
ip_p_inc2y6m,Parent Income,2.5,Parental income,,parent_income,+,ip_p_inc2y6m,m_iq0y,prem_birth,hh_sibs0y,0,0
ip_p_inc3y6m,Parent Income,3.5,Parental income,,parent_income,+,ip_p_inc3y6m,m_iq0y,prem_birth,hh_sibs0y,0,0
ip_p_inc4y6m,Parent Income,4.5,Parental income,,parent_income,+,ip_p_inc4y6m,m_iq0y,prem_birth,hh_sibs0y,0,0
ip_p_inc5y,Parent Income,5.0,Parental income,,parent_income,+,ip_p_inc5y,m_iq0y,prem_birth,cohort,0,0
ip_p_inc6y,Parent Income,6.0,Parental income,,parent_income,+,ip_p_inc6y,m_iq0y,apgar1,cohort,0,0
ip_p_inc7y,Parent Income,7.0,Parental income,,parent_income,+,ip_p_inc7y,m_iq0y,apgar1,cohort,0,0
ip_p_inc8y,Parent Income,8.0,Parental income,,parent_income,+,ip_p_inc8y,m_iq0y,apgar1,cohort,0,0
ip_p_inc9y,Parent Income,9.0,Parental income,,parent_income,+,ip_p_inc9y,m_iq0y,apgar1,cohort,0,0
ip_p_inc10y,Parent Income,10.0,Parental income,,parent_income,+,ip_p_inc10y,m_iq0y,apgar1,cohort,0,0
ip_p_inc11y,Parent Income,11.0,Parental income,,parent_income,+,ip_p_inc11y,m_iq0y,apgar1,cohort,0,0
ip_p_inc12y,Parent Income,12.0,Parental income,,parent_income,+,ip_p_inc12y,m_iq0y,apgar1,cohort,0,0
ip_p_inc13y,Parent Income,13.0,Parental income,,parent_income,+,ip_p_inc13y,apgar1,hh_sibs0y,cohort,0,0
ip_p_inc14y,Parent Income,14.0,Parental income,,parent_income,+,ip_p_inc14y,apgar1,hh_sibs0y,cohort,0,0
ip_p_inc15y,Parent Income,15.0,Parental income,,parent_income,+,ip_p_inc15y,apgar1,hh_sibs0y,cohort,0,0
ip_p_inc16y,Parent Income,16.0,Parental income,,parent_income,+,ip_p_inc16y,hrabc_index,apgar1,cohort,0,0
ip_p_inc17y,Parent Income,17.0,Parental income,,parent_income,+,ip_p_inc17y,hrabc_index,apgar1,cohort,0,0
ip_p_inc18y,Parent Income,18.0,Parental income,,parent_income,+,ip_p_inc18y,hrabc_index,apgar1,cohort,0,0
ip_p_inc19y,Parent Income,19.0,Parental income,,parent_income,+,ip_p_inc19y,hrabc_index,apgar1,cohort,0,0
ip_p_inc20y,Parent Income,20.0,Parental income,,parent_income,+,ip_p_inc20y,hrabc_index,apgar1,cohort,0,0
ip_p_inc21y,Parent Income,21.0,Parental income,,parent_income,+,ip_p_inc21y,hrabc_index,apgar1,cohort,0,0
