variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
private_crime6,Costs,6,Private Crime,,,-,,,,,,,,,,,,,
private_crime7,Costs,7,Private Crime,,,-,,,,,,,,,,,,,
private_crime8,Costs,8,Private Crime,,,-,,,,,,,,,,,,,
private_crime9,Costs,9,Private Crime,,,-,,,,,,,,,,,,,
private_crime10,Costs,10,Private Crime,,,-,,,,,,,,,,,,,
private_crime11,Costs,11,Private Crime,,,-,,,,,,,,,,,,,
private_crime12,Costs,12,Private Crime,,,-,,,,,,,,,,,,,
private_crime13,Costs,13,Private Crime,,,-,,,,,,,,,,,,,
private_crime14,Costs,14,Private Crime,,,-,,,,,,,,,,,,,
private_crime15,Costs,15,Private Crime,,,-,,,,,,,,,,,,,
private_crime16,Costs,16,Private Crime,,,-,,,,,,,,,,,,,
private_crime17,Costs,17,Private Crime,,,-,,,,,,,,,,,,,
private_crime18,Costs,18,Private Crime,,,-,,,,,,,,,,,,,
private_crime19,Costs,19,Private Crime,,,-,,,,,,,,,,,,,
private_crime20,Costs,20,Private Crime,,,-,,,,,,,,,,,,,
private_crime21,Costs,21,Private Crime,,,-,,,,,,,,,,,,,
private_crime22,Costs,22,Private Crime,,,-,,,,,,,,,,,,,
private_crime23,Costs,23,Private Crime,,,-,,,,,,,,,,,,,
private_crime24,Costs,24,Private Crime,,,-,,,,,,,,,,,,,
private_crime25,Costs,25,Private Crime,,,-,,,,,,,,,,,,,
private_crime26,Costs,26,Private Crime,,,-,,,,,,,,,,,,,
private_crime27,Costs,27,Private Crime,,,-,,,,,,,,,,,,,
private_crime28,Costs,28,Private Crime,,,-,,,,,,,,,,,,,
private_crime29,Costs,29,Private Crime,,,-,,,,,,,,,,,,,
private_crime30,Costs,30,Private Crime,,,-,,,,,,,,,,,,,
private_crime31,Costs,31,Private Crime,,,-,,,,,,,,,,,,,
private_crime32,Costs,32,Private Crime,,,-,,,,,,,,,,,,,
private_crime33,Costs,33,Private Crime,,,-,,,,,,,,,,,,,
private_crime34,Costs,34,Private Crime,,,-,,,,,,,,,,,,,
private_crime35,Costs,35,Private Crime,,,-,,,,,,,,,,,,,
private_crime36,Costs,36,Private Crime,,,-,,,,,,,,,,,,,
private_crime37,Costs,37,Private Crime,,,-,,,,,,,,,,,,,
private_crime38,Costs,38,Private Crime,,,-,,,,,,,,,,,,,
private_crime39,Costs,39,Private Crime,,,-,,,,,,,,,,,,,
private_crime40,Costs,40,Private Crime,,,-,,,,,,,,,,,,,
private_crime41,Costs,41,Private Crime,,,-,,,,,,,,,,,,,
private_crime42,Costs,42,Private Crime,,,-,,,,,,,,,,,,,
private_crime43,Costs,43,Private Crime,,,-,,,,,,,,,,,,,
private_crime44,Costs,44,Private Crime,,,-,,,,,,,,,,,,,
private_crime45,Costs,45,Private Crime,,,-,,,,,,,,,,,,,
private_crime46,Costs,46,Private Crime,,,-,,,,,,,,,,,,,
private_crime47,Costs,47,Private Crime,,,-,,,,,,,,,,,,,
private_crime48,Costs,48,Private Crime,,,-,,,,,,,,,,,,,
private_crime49,Costs,49,Private Crime,,,-,,,,,,,,,,,,,
private_crime50,Costs,50,Private Crime,,,-,,,,,,,,,,,,,
