variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
progcost0,Costs,0,Program Costs,,,+,,,,,,,,,,,,,
progcost1,Costs,1,Program Costs,,,+,,,,,,,,,,,,,
progcost2,Costs,2,Program Costs,,,+,,,,,,,,,,,,,
progcost3,Costs,3,Program Costs,,,+,,,,,,,,,,,,,
progcost4,Costs,4,Program Costs,,,+,,,,,,,,,,,,,
progcost5,Costs,5,Program Costs,,,+,,,,,,,,,,,,,
progcost6,Costs,6,Program Costs,,,+,,,,,,,,,,,,,
progcost7,Costs,7,Program Costs,,,+,,,,,,,,,,,,,
progcost8,Costs,8,Program Costs,,,+,,,,,,,,,,,,,
progcost9,Costs,9,Program Costs,,,+,,,,,,,,,,,,,
progcost10,Costs,10,Program Costs,,,+,,,,,,,,,,,,,
progcost11,Costs,11,Program Costs,,,+,,,,,,,,,,,,,
progcost12,Costs,12,Program Costs,,,+,,,,,,,,,,,,,
progcost13,Costs,13,Program Costs,,,+,,,,,,,,,,,,,
progcost14,Costs,14,Program Costs,,,+,,,,,,,,,,,,,
progcost15,Costs,15,Program Costs,,,+,,,,,,,,,,,,,
progcost16,Costs,16,Program Costs,,,+,,,,,,,,,,,,,
progcost17,Costs,17,Program Costs,,,+,,,,,,,,,,,,,
progcost18,Costs,18,Program Costs,,,+,,,,,,,,,,,,,
progcost19,Costs,19,Program Costs,,,+,,,,,,,,,,,,,
progcost20,Costs,20,Program Costs,,,+,,,,,,,,,,,,,
progcost21,Costs,21,Program Costs,,,+,,,,,,,,,,,,,
progcost22,Costs,22,Program Costs,,,+,,,,,,,,,,,,,
progcost23,Costs,23,Program Costs,,,+,,,,,,,,,,,,,
progcost24,Costs,24,Program Costs,,,+,,,,,,,,,,,,,
progcost25,Costs,25,Program Costs,,,+,,,,,,,,,,,,,
progcost26,Costs,26,Program Costs,,,+,,,,,,,,,,,,,
