variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
public_crime6,Costs,6,Public Crime,,,-,,,,,,,,,,,,,
public_crime7,Costs,7,Public Crime,,,-,,,,,,,,,,,,,
public_crime8,Costs,8,Public Crime,,,-,,,,,,,,,,,,,
public_crime9,Costs,9,Public Crime,,,-,,,,,,,,,,,,,
public_crime10,Costs,10,Public Crime,,,-,,,,,,,,,,,,,
public_crime11,Costs,11,Public Crime,,,-,,,,,,,,,,,,,
public_crime12,Costs,12,Public Crime,,,-,,,,,,,,,,,,,
public_crime13,Costs,13,Public Crime,,,-,,,,,,,,,,,,,
public_crime14,Costs,14,Public Crime,,,-,,,,,,,,,,,,,
public_crime15,Costs,15,Public Crime,,,-,,,,,,,,,,,,,
public_crime16,Costs,16,Public Crime,,,-,,,,,,,,,,,,,
public_crime17,Costs,17,Public Crime,,,-,,,,,,,,,,,,,
public_crime18,Costs,18,Public Crime,,,-,,,,,,,,,,,,,
public_crime19,Costs,19,Public Crime,,,-,,,,,,,,,,,,,
public_crime20,Costs,20,Public Crime,,,-,,,,,,,,,,,,,
public_crime21,Costs,21,Public Crime,,,-,,,,,,,,,,,,,
public_crime22,Costs,22,Public Crime,,,-,,,,,,,,,,,,,
public_crime23,Costs,23,Public Crime,,,-,,,,,,,,,,,,,
public_crime24,Costs,24,Public Crime,,,-,,,,,,,,,,,,,
public_crime25,Costs,25,Public Crime,,,-,,,,,,,,,,,,,
public_crime26,Costs,26,Public Crime,,,-,,,,,,,,,,,,,
public_crime27,Costs,27,Public Crime,,,-,,,,,,,,,,,,,
public_crime28,Costs,28,Public Crime,,,-,,,,,,,,,,,,,
public_crime29,Costs,29,Public Crime,,,-,,,,,,,,,,,,,
public_crime30,Costs,30,Public Crime,,,-,,,,,,,,,,,,,
public_crime31,Costs,31,Public Crime,,,-,,,,,,,,,,,,,
public_crime32,Costs,32,Public Crime,,,-,,,,,,,,,,,,,
public_crime33,Costs,33,Public Crime,,,-,,,,,,,,,,,,,
public_crime34,Costs,34,Public Crime,,,-,,,,,,,,,,,,,
public_crime35,Costs,35,Public Crime,,,-,,,,,,,,,,,,,
public_crime36,Costs,36,Public Crime,,,-,,,,,,,,,,,,,
public_crime37,Costs,37,Public Crime,,,-,,,,,,,,,,,,,
public_crime38,Costs,38,Public Crime,,,-,,,,,,,,,,,,,
public_crime39,Costs,39,Public Crime,,,-,,,,,,,,,,,,,
public_crime40,Costs,40,Public Crime,,,-,,,,,,,,,,,,,
public_crime41,Costs,41,Public Crime,,,-,,,,,,,,,,,,,
public_crime42,Costs,42,Public Crime,,,-,,,,,,,,,,,,,
public_crime43,Costs,43,Public Crime,,,-,,,,,,,,,,,,,
public_crime44,Costs,44,Public Crime,,,-,,,,,,,,,,,,,
public_crime45,Costs,45,Public Crime,,,-,,,,,,,,,,,,,
public_crime46,Costs,46,Public Crime,,,-,,,,,,,,,,,,,
public_crime47,Costs,47,Public Crime,,,-,,,,,,,,,,,,,
public_crime48,Costs,48,Public Crime,,,-,,,,,,,,,,,,,
public_crime49,Costs,49,Public Crime,,,-,,,,,,,,,,,,,
public_crime50,Costs,50,Public Crime,,,-,,,,,,,,,,,,,
