variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
diclaim30,Health,30,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim31,Health,31,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim32,Health,32,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim33,Health,33,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim34,Health,34,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim35,Health,35,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim36,Health,36,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim37,Health,37,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim38,Health,38,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim39,Health,39,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim40,Health,40,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim41,Health,41,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim42,Health,42,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim43,Health,43,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim44,Health,44,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim45,Health,45,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim46,Health,46,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim47,Health,47,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim48,Health,48,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim49,Health,49,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim50,Health,50,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim51,Health,51,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim52,Health,52,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim53,Health,53,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim54,Health,54,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim55,Health,55,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim56,Health,56,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim57,Health,57,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim58,Health,58,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim59,Health,59,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim60,Health,60,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim61,Health,61,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim62,Health,62,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim63,Health,63,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim64,Health,64,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim65,Health,65,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim66,Health,66,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim67,Health,67,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim68,Health,68,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim69,Health,69,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim70,Health,70,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim71,Health,71,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim72,Health,72,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim73,Health,73,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim74,Health,74,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim75,Health,75,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim76,Health,76,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim77,Health,77,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim78,Health,78,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
diclaim79,Health,79,Disability Insurance Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
