variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
health_private8,Health,8,Private Health Costs,,,-,,,,,,,,,,,,,
health_private9,Health,9,Private Health Costs,,,-,,,,,,,,,,,,,
health_private10,Health,10,Private Health Costs,,,-,,,,,,,,,,,,,
health_private11,Health,11,Private Health Costs,,,-,,,,,,,,,,,,,
health_private12,Health,12,Private Health Costs,,,-,,,,,,,,,,,,,
health_private13,Health,13,Private Health Costs,,,-,,,,,,,,,,,,,
health_private14,Health,14,Private Health Costs,,,-,,,,,,,,,,,,,
health_private15,Health,15,Private Health Costs,,,-,,,,,,,,,,,,,
health_private16,Health,16,Private Health Costs,,,-,,,,,,,,,,,,,
health_private17,Health,17,Private Health Costs,,,-,,,,,,,,,,,,,
health_private18,Health,18,Private Health Costs,,,-,,,,,,,,,,,,,
health_private19,Health,19,Private Health Costs,,,-,,,,,,,,,,,,,
health_private20,Health,20,Private Health Costs,,,-,,,,,,,,,,,,,
health_private21,Health,21,Private Health Costs,,,-,,,,,,,,,,,,,
health_private22,Health,22,Private Health Costs,,,-,,,,,,,,,,,,,
health_private23,Health,23,Private Health Costs,,,-,,,,,,,,,,,,,
health_private24,Health,24,Private Health Costs,,,-,,,,,,,,,,,,,
health_private25,Health,25,Private Health Costs,,,-,,,,,,,,,,,,,
health_private26,Health,26,Private Health Costs,,,-,,,,,,,,,,,,,
health_private27,Health,27,Private Health Costs,,,-,,,,,,,,,,,,,
health_private28,Health,28,Private Health Costs,,,-,,,,,,,,,,,,,
health_private29,Health,29,Private Health Costs,,,-,,,,,,,,,,,,,
health_private30,Health,30,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private31,Health,31,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private32,Health,32,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private33,Health,33,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private34,Health,34,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private35,Health,35,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private36,Health,36,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private37,Health,37,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private38,Health,38,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private39,Health,39,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private40,Health,40,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private41,Health,41,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private42,Health,42,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private43,Health,43,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private44,Health,44,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private45,Health,45,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private46,Health,46,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private47,Health,47,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private48,Health,48,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private49,Health,49,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private50,Health,50,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private51,Health,51,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private52,Health,52,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private53,Health,53,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private54,Health,54,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private55,Health,55,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private56,Health,56,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private57,Health,57,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private58,Health,58,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private59,Health,59,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private60,Health,60,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private61,Health,61,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private62,Health,62,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private63,Health,63,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private64,Health,64,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private65,Health,65,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private66,Health,66,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private67,Health,67,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private68,Health,68,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private69,Health,69,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private70,Health,70,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private71,Health,71,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private72,Health,72,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private73,Health,73,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private74,Health,74,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private75,Health,75,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private76,Health,76,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private77,Health,77,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_private78,Health,78,Private Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
