variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
health_public8,Health,8,Public Health Costs,,,-,,,,,,,,,,,,,
health_public9,Health,9,Public Health Costs,,,-,,,,,,,,,,,,,
health_public10,Health,10,Public Health Costs,,,-,,,,,,,,,,,,,
health_public11,Health,11,Public Health Costs,,,-,,,,,,,,,,,,,
health_public12,Health,12,Public Health Costs,,,-,,,,,,,,,,,,,
health_public13,Health,13,Public Health Costs,,,-,,,,,,,,,,,,,
health_public14,Health,14,Public Health Costs,,,-,,,,,,,,,,,,,
health_public15,Health,15,Public Health Costs,,,-,,,,,,,,,,,,,
health_public16,Health,16,Public Health Costs,,,-,,,,,,,,,,,,,
health_public17,Health,17,Public Health Costs,,,-,,,,,,,,,,,,,
health_public18,Health,18,Public Health Costs,,,-,,,,,,,,,,,,,
health_public19,Health,19,Public Health Costs,,,-,,,,,,,,,,,,,
health_public20,Health,20,Public Health Costs,,,-,,,,,,,,,,,,,
health_public21,Health,21,Public Health Costs,,,-,,,,,,,,,,,,,
health_public22,Health,22,Public Health Costs,,,-,,,,,,,,,,,,,
health_public23,Health,23,Public Health Costs,,,-,,,,,,,,,,,,,
health_public24,Health,24,Public Health Costs,,,-,,,,,,,,,,,,,
health_public25,Health,25,Public Health Costs,,,-,,,,,,,,,,,,,
health_public26,Health,26,Public Health Costs,,,-,,,,,,,,,,,,,
health_public27,Health,27,Public Health Costs,,,-,,,,,,,,,,,,,
health_public28,Health,28,Public Health Costs,,,-,,,,,,,,,,,,,
health_public29,Health,29,Public Health Costs,,,-,,,,,,,,,,,,,
health_public30,Health,30,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public31,Health,31,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public32,Health,32,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public33,Health,33,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public34,Health,34,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public35,Health,35,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public36,Health,36,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public37,Health,37,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public38,Health,38,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public39,Health,39,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public40,Health,40,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public41,Health,41,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public42,Health,42,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public43,Health,43,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public44,Health,44,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public45,Health,45,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public46,Health,46,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public47,Health,47,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public48,Health,48,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public49,Health,49,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public50,Health,50,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public51,Health,51,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public52,Health,52,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public53,Health,53,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public54,Health,54,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public55,Health,55,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public56,Health,56,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public57,Health,57,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public58,Health,58,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public59,Health,59,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public60,Health,60,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public61,Health,61,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public62,Health,62,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public63,Health,63,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public64,Health,64,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public65,Health,65,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public66,Health,66,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public67,Health,67,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public68,Health,68,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public69,Health,69,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public70,Health,70,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public71,Health,71,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public72,Health,72,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public73,Health,73,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public74,Health,74,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public75,Health,75,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public76,Health,76,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public77,Health,77,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public78,Health,78,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
health_public79,Health,79,Public Health Costs,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
