variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
qaly_surv30,Health,30,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv31,Health,31,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv32,Health,32,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv33,Health,33,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv34,Health,34,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv35,Health,35,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv36,Health,36,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv37,Health,37,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv38,Health,38,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv39,Health,39,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv40,Health,40,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv41,Health,41,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv42,Health,42,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv43,Health,43,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv44,Health,44,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv45,Health,45,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv46,Health,46,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
qaly_surv47,Health,47,Expected Quality-Adjusted Life Years,,,-,si34y_time,apgar1,apgar5,prem_birth,,,,,,,,,
