rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,     39.2091,      0.6290,     62.0000,    -35.7713,      0.5037,     52.0000,    -35.7713,      0.5037,     52.0000
health_private_surv11,0,      0.0000,    522.6639,      0.2484,     62.0000,    807.8036,      0.1567,     52.0000,    807.8036,      0.1567,     52.0000
health_private_surv12,0,      0.0000,   -735.6225,      0.4363,     62.0000,  -1521.4000,      0.2364,     52.0000,  -1521.4000,      0.2364,     52.0000
health_private_surv13,0,      0.0000,    161.8407,      0.1873,     62.0000,     74.5066,      0.5002,     52.0000,     74.5066,      0.5002,     52.0000
health_private_surv14,0,      0.0000,    117.8325,      0.3304,     62.0000,     36.0277,      0.7122,     52.0000,     36.0277,      0.7122,     52.0000
health_private_surv15,0,      0.0000,    280.3167,      0.1373,     62.0000,    348.0051,      0.1170,     52.0000,    348.0051,      0.1170,     52.0000
health_private_surv16,0,      0.0000,    246.6215,      0.5018,     62.0000,    220.6438,      0.6176,     52.0000,    220.6438,      0.6176,     52.0000
health_private_surv17,0,      0.0000,    -60.3045,      0.8775,     62.0000,   -369.2391,      0.4262,     52.0000,   -369.2391,      0.4262,     52.0000
health_private_surv18,0,      0.0000,   -133.6028,      0.7386,     62.0000,   -426.9346,      0.3735,     52.0000,   -426.9346,      0.3735,     52.0000
health_private_surv19,0,      0.0000,    271.6833,      0.4471,     62.0000,    132.1626,      0.7409,     52.0000,    132.1626,      0.7409,     52.0000
health_private_surv20,0,      0.0000,    238.5316,      0.6013,     62.0000,     -1.8135,      0.9973,     52.0000,     -1.8135,      0.9973,     52.0000
health_private_surv21,0,      0.0000,    308.6102,      0.6108,     62.0000,   -249.1587,      0.7042,     52.0000,   -249.1587,      0.7042,     52.0000
health_private_surv22,0,      0.0000,    561.4366,      0.3452,     62.0000,    363.0028,      0.5871,     52.0000,    363.0028,      0.5871,     52.0000
health_private_surv23,0,      0.0000,    317.7919,      0.5234,     62.0000,    340.3453,      0.5087,     52.0000,    340.3453,      0.5087,     52.0000
health_private_surv24,0,      0.0000,    807.7348,      0.0782,     62.0000,    647.5406,      0.2392,     52.0000,    647.5406,      0.2392,     52.0000
health_private_surv25,0,      0.0000,    717.1858,      0.2342,     62.0000,    207.6366,      0.7473,     52.0000,    207.6366,      0.7473,     52.0000
health_private_surv26,0,      0.0000,    650.5619,      0.1816,     62.0000,    258.7472,      0.6607,     52.0000,    258.7472,      0.6607,     52.0000
