rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,    229.5961,      0.1053,     36.0000,    170.9861,      0.0365,     30.0000,    170.9861,      0.0365,     30.0000
health_private_surv11,0,      0.0000,    721.5426,      0.4931,     36.0000,   1267.0419,      0.3427,     30.0000,   1267.0419,      0.3427,     30.0000
health_private_surv12,0,      0.0000,  -4409.5646,      0.0384,     36.0000,  -6774.6302,      0.0198,     30.0000,  -6774.6302,      0.0198,     30.0000
health_private_surv13,0,      0.0000,    312.8007,      0.2045,     36.0000,    130.3562,      0.5352,     30.0000,    130.3562,      0.5352,     30.0000
health_private_surv14,0,      0.0000,    292.7847,      0.2230,     36.0000,     81.9353,      0.6524,     30.0000,     81.9353,      0.6524,     30.0000
health_private_surv15,0,      0.0000,    503.5610,      0.0870,     36.0000,    465.1924,      0.1343,     30.0000,    465.1924,      0.1343,     30.0000
health_private_surv16,0,      0.0000,    293.1522,      0.6858,     36.0000,   -297.5118,      0.7236,     30.0000,   -297.5118,      0.7236,     30.0000
health_private_surv17,0,      0.0000,   -158.5707,      0.8093,     36.0000,   -781.5465,      0.2339,     30.0000,   -781.5465,      0.2339,     30.0000
health_private_surv18,0,      0.0000,      0.5269,      0.9993,     36.0000,   -554.3352,      0.3823,     30.0000,   -554.3352,      0.3823,     30.0000
health_private_surv19,0,      0.0000,    122.8358,      0.8582,     36.0000,   -313.4618,      0.6722,     30.0000,   -313.4618,      0.6722,     30.0000
health_private_surv20,0,      0.0000,    211.6262,      0.8028,     36.0000,   -449.5360,      0.6156,     30.0000,   -449.5360,      0.6156,     30.0000
health_private_surv21,0,      0.0000,    803.9671,      0.4961,     36.0000,   -179.2247,      0.8775,     30.0000,   -179.2247,      0.8775,     30.0000
health_private_surv22,0,      0.0000,   2058.9702,      0.0452,     36.0000,   1239.4946,      0.3022,     30.0000,   1239.4946,      0.3022,     30.0000
health_private_surv23,0,      0.0000,   1549.3977,      0.0700,     36.0000,   1287.5003,      0.1247,     30.0000,   1287.5003,      0.1247,     30.0000
health_private_surv24,0,      0.0000,   1750.1012,      0.0480,     36.0000,   1867.0859,      0.0793,     30.0000,   1867.0859,      0.0793,     30.0000
