rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,    -24.7221,      0.7590,     52.0000,    -94.7377,      0.0852,     46.0000,    -94.7377,      0.0852,     46.0000
health_private_surv11,0,      0.0000,    464.9935,      0.3931,     52.0000,    624.3419,      0.3326,     46.0000,    624.3419,      0.3326,     46.0000
health_private_surv12,0,      0.0000,     75.0811,      0.6444,     52.0000,    117.4244,      0.4261,     46.0000,    117.4244,      0.4261,     46.0000
health_private_surv13,0,      0.0000,     79.4045,      0.5618,     52.0000,     61.0026,      0.6281,     46.0000,     61.0026,      0.6281,     46.0000
health_private_surv14,0,      0.0000,     36.5381,      0.7874,     52.0000,     19.3351,      0.8633,     46.0000,     19.3351,      0.8633,     46.0000
health_private_surv15,0,      0.0000,    197.2050,      0.3424,     52.0000,    323.3520,      0.1779,     46.0000,    323.3520,      0.1779,     46.0000
health_private_surv16,0,      0.0000,    228.0147,      0.5790,     52.0000,    314.7831,      0.5245,     46.0000,    314.7831,      0.5245,     46.0000
health_private_surv17,0,      0.0000,   -101.6045,      0.8154,     52.0000,   -286.3479,      0.5786,     46.0000,   -286.3479,      0.5786,     46.0000
health_private_surv18,0,      0.0000,   -272.3217,      0.5550,     52.0000,   -478.2224,      0.3854,     46.0000,   -478.2224,      0.3854,     46.0000
health_private_surv19,0,      0.0000,    299.9876,      0.4428,     52.0000,    239.5508,      0.5882,     46.0000,    239.5508,      0.5882,     46.0000
health_private_surv20,0,      0.0000,    265.2077,      0.6138,     52.0000,    123.2730,      0.8385,     46.0000,    123.2730,      0.8385,     46.0000
health_private_surv21,0,      0.0000,    -54.8291,      0.9339,     52.0000,   -363.3886,      0.5988,     46.0000,   -363.3886,      0.5988,     46.0000
health_private_surv22,0,      0.0000,    -74.4001,      0.9116,     52.0000,    107.9494,      0.8873,     46.0000,    107.9494,      0.8873,     46.0000
health_private_surv23,0,      0.0000,     20.3484,      0.9702,     52.0000,    117.4660,      0.8370,     46.0000,    117.4660,      0.8370,     46.0000
health_private_surv24,0,      0.0000,    435.5601,      0.3968,     52.0000,    364.9157,      0.5550,     46.0000,    364.9157,      0.5550,     46.0000
health_private_surv25,0,      0.0000,    250.2764,      0.7136,     52.0000,    -24.9034,      0.9726,     46.0000,    -24.9034,      0.9726,     46.0000
health_private_surv26,0,      0.0000,    259.8860,      0.6382,     52.0000,     55.9687,      0.9335,     46.0000,     55.9687,      0.9335,     46.0000
health_private_surv27,0,      0.0000,    439.2318,      0.3969,     52.0000,    460.6824,      0.4784,     46.0000,    460.6824,      0.4784,     46.0000
health_private_surv28,0,      0.0000,     49.3113,      0.9010,     52.0000,     -9.4765,      0.9826,     46.0000,     -9.4765,      0.9826,     46.0000
health_private_surv29,0,      0.0000,     92.0482,      0.8120,     52.0000,    -33.0522,      0.9404,     46.0000,    -33.0522,      0.9404,     46.0000
health_private_surv30,0,      0.0000,  -1595.8072,      0.1261,     21.0000,   -741.0782,      0.6553,     18.0000,  -1567.0186,      0.3077,     18.0000
health_private_surv31,0,      0.0000,   -673.0923,      0.3974,     30.0000,   -861.5231,      0.4328,     26.0000,  -1061.9046,      0.2538,     26.0000
health_private_surv32,0,      0.0000,   -408.2540,      0.5229,     38.0000,   -396.5957,      0.6582,     34.0000,   -285.2198,      0.7382,     34.0000
health_private_surv33,0,      0.0000,   -596.1414,      0.3604,     38.0000,   -615.3404,      0.4940,     34.0000,   -551.2970,      0.5208,     34.0000
health_private_surv34,0,      0.0000,   -702.7621,      0.2898,     38.0000,   -641.6141,      0.4772,     34.0000,   -576.8796,      0.5010,     34.0000
health_private_surv35,0,      0.0000,   -466.7307,      0.4754,     38.0000,   -271.8990,      0.7587,     34.0000,   -173.7704,      0.8338,     34.0000
