rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,    -15.9827,      0.9210,     36.0000,     15.2953,      0.9305,     31.0000,     15.2953,      0.9305,     31.0000
health_private_surv11,0,      0.0000,     94.1433,      0.5155,     36.0000,    142.3722,      0.4075,     31.0000,    142.3722,      0.4075,     31.0000
health_private_surv12,0,      0.0000,   -100.1713,      0.6230,     36.0000,    -23.6281,      0.9246,     31.0000,    -23.6281,      0.9246,     31.0000
health_private_surv13,0,      0.0000,   -150.2876,      0.3943,     36.0000,   -104.8143,      0.6232,     31.0000,   -104.8143,      0.6232,     31.0000
health_private_surv14,0,      0.0000,   1185.1233,      0.5223,     36.0000,    674.4688,      0.7498,     31.0000,    674.4688,      0.7498,     31.0000
health_private_surv15,0,      0.0000,   -346.1988,      0.0205,     36.0000,   -244.7051,      0.1807,     31.0000,   -244.7051,      0.1807,     31.0000
health_private_surv16,0,      0.0000,   1802.6973,      0.5653,     36.0000,    -22.8018,      0.9732,     31.0000,    -22.8018,      0.9732,     31.0000
health_private_surv17,0,      0.0000,   1040.7644,      0.6141,     36.0000,    -74.6823,      0.9066,     31.0000,    -74.6823,      0.9066,     31.0000
health_private_surv18,0,      0.0000,   1478.7899,      0.5087,     36.0000,     21.8927,      0.9602,     31.0000,     21.8927,      0.9602,     31.0000
health_private_surv19,0,      0.0000,   1610.7219,      0.5847,     36.0000,    -32.7916,      0.9456,     31.0000,    -32.7916,      0.9456,     31.0000
health_private_surv20,0,      0.0000,   1489.8573,      0.4147,     36.0000,    502.2810,      0.6849,     31.0000,    502.2810,      0.6849,     31.0000
health_private_surv21,0,      0.0000,   -309.0372,      0.3146,     36.0000,   -153.9307,      0.7005,     31.0000,   -153.9307,      0.7005,     31.0000
health_private_surv22,0,      0.0000,     -4.4822,      0.9859,     36.0000,   -100.8627,      0.7548,     31.0000,   -100.8627,      0.7548,     31.0000
health_private_surv23,0,      0.0000,     69.8400,      0.7765,     36.0000,     84.6354,      0.7970,     31.0000,     84.6354,      0.7970,     31.0000
health_private_surv24,0,      0.0000,    -93.4487,      0.6638,     36.0000,    -31.6946,      0.9043,     31.0000,    -31.6946,      0.9043,     31.0000
health_private_surv25,0,      0.0000,   -148.4752,      0.4448,     36.0000,    -98.6932,      0.6301,     31.0000,    -98.6932,      0.6301,     31.0000
health_private_surv26,0,      0.0000,   -214.6941,      0.2424,     36.0000,   -220.5861,      0.2725,     31.0000,   -220.5861,      0.2725,     31.0000
health_private_surv27,0,      0.0000,   -245.7109,      0.1536,     36.0000,   -124.1994,      0.3950,     31.0000,   -124.1994,      0.3950,     31.0000
health_private_surv28,0,      0.0000,    -57.1749,      0.7449,     36.0000,     -2.1816,      0.9877,     31.0000,     -2.1816,      0.9877,     31.0000
health_private_surv29,0,      0.0000,    -36.6722,      0.8550,     36.0000,     47.5126,      0.8023,     31.0000,     47.5126,      0.8023,     31.0000
health_private_surv30,0,      0.0000,      0.0000,,     13.0000,      0.0000,,     10.0000,      0.0000,,     10.0000
health_private_surv31,0,      0.0000,      0.0000,,     17.0000,      0.0000,,     14.0000,      0.0000,,     14.0000
health_private_surv32,0,      0.0000,   5209.7739,      0.0120,     21.0000,   1622.4637,      0.5064,     18.0000,   1400.3150,      0.5483,     18.0000
health_private_surv33,0,      0.0000,   4703.5375,      0.0173,     21.0000,   1535.6266,      0.5105,     18.0000,   1340.7886,      0.5466,     18.0000
health_private_surv34,0,      0.0000,   4128.0625,      0.0309,     21.0000,   1459.3538,      0.5327,     18.0000,   1275.0805,      0.5669,     18.0000
health_private_surv35,0,      0.0000,   4117.5066,      0.0402,     21.0000,   1370.0668,      0.5755,     18.0000,   1151.5334,      0.6211,     18.0000
health_private_surv36,0,      0.0000,   4133.9893,      0.0491,     21.0000,   1351.5349,      0.5993,     18.0000,   1102.2815,      0.6523,     18.0000
health_private_surv37,0,      0.0000,   3757.1762,      0.0702,     21.0000,    830.2458,      0.7415,     18.0000,    605.5920,      0.8006,     18.0000
health_private_surv38,0,      0.0000,   3396.3445,      0.0992,     21.0000,    304.4830,      0.9021,     18.0000,    110.2931,      0.9627,     18.0000
health_private_surv39,0,      0.0000,   3648.3712,      0.0771,     21.0000,    615.5697,      0.8000,     18.0000,    420.9158,      0.8525,     18.0000
health_private_surv40,0,      0.0000,   3858.9009,      0.0648,     21.0000,    797.7524,      0.7497,     18.0000,    593.5057,      0.7987,     18.0000
