rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,     32.8652,      0.5897,    116.0000,     37.1674,      0.4934,    100.0000,     37.1674,      0.4934,    100.0000
health_private_surv11,0,      0.0000,    291.7570,      0.2344,    116.0000,    505.8417,      0.0832,    100.0000,    505.8417,      0.0832,    100.0000
health_private_surv12,0,      0.0000,   -700.6295,      0.2399,    116.0000,   -999.8590,      0.1788,    100.0000,   -999.8590,      0.1788,    100.0000
health_private_surv13,0,      0.0000,     34.0966,      0.6955,    116.0000,     58.4848,      0.4837,    100.0000,     58.4848,      0.4837,    100.0000
health_private_surv14,0,      0.0000,      8.8642,      0.9889,    116.0000,   -323.5006,      0.6357,    100.0000,   -323.5006,      0.6357,    100.0000
health_private_surv15,0,      0.0000,    330.5065,      0.0904,    116.0000,    448.8106,      0.0392,    100.0000,    448.8106,      0.0392,    100.0000
health_private_surv16,0,      0.0000,    879.5438,      0.2640,    116.0000,    -36.7801,      0.9011,    100.0000,    -36.7801,      0.9011,    100.0000
health_private_surv17,0,      0.0000,    448.9002,      0.4164,    116.0000,   -353.1854,      0.2427,    100.0000,   -353.1854,      0.2427,    100.0000
health_private_surv18,0,      0.0000,    353.7460,      0.5601,    116.0000,   -506.4764,      0.1379,    100.0000,   -506.4764,      0.1379,    100.0000
health_private_surv19,0,      0.0000,    773.5401,      0.2984,    116.0000,    -84.1312,      0.7602,    100.0000,    -84.1312,      0.7602,    100.0000
health_private_surv20,0,      0.0000,    674.5138,      0.1943,    116.0000,    -20.2236,      0.9585,    100.0000,    -20.2236,      0.9585,    100.0000
health_private_surv21,0,      0.0000,     86.3041,      0.8129,    116.0000,    -34.0800,      0.9200,    100.0000,    -34.0800,      0.9200,    100.0000
health_private_surv22,0,      0.0000,    208.8148,      0.5759,    116.0000,    258.7763,      0.4691,    100.0000,    258.7763,      0.4691,    100.0000
health_private_surv23,0,      0.0000,     92.4988,      0.7671,    116.0000,    242.9833,      0.3740,    100.0000,    242.9833,      0.3740,    100.0000
