rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,      5.1131,      0.9323,     98.0000,     17.2157,      0.7270,     86.0000,     17.2157,      0.7270,     86.0000
health_private_surv11,0,      0.0000,    267.4130,      0.3642,     98.0000,    478.6655,      0.1548,     86.0000,    478.6655,      0.1548,     86.0000
health_private_surv12,0,      0.0000,   -362.6111,      0.3696,     98.0000,   -437.4572,      0.3530,     86.0000,   -437.4572,      0.3530,     86.0000
health_private_surv13,0,      0.0000,     -9.5267,      0.9233,     98.0000,     60.6398,      0.5097,     86.0000,     60.6398,      0.5097,     86.0000
health_private_surv14,0,      0.0000,   -336.6363,      0.6617,     98.0000,   -619.7488,      0.4334,     86.0000,   -619.7488,      0.4334,     86.0000
health_private_surv15,0,      0.0000,    426.6828,      0.0620,     98.0000,    562.5705,      0.0203,     86.0000,    562.5705,      0.0203,     86.0000
health_private_surv16,0,      0.0000,    884.9898,      0.3503,     98.0000,      8.5864,      0.9792,     86.0000,      8.5864,      0.9792,     86.0000
health_private_surv17,0,      0.0000,    458.4041,      0.4858,     98.0000,   -302.6150,      0.3544,     86.0000,   -302.6150,      0.3544,     86.0000
health_private_surv18,0,      0.0000,    212.7542,      0.7702,     98.0000,   -541.6008,      0.1648,     86.0000,   -541.6008,      0.1648,     86.0000
health_private_surv19,0,      0.0000,    778.7712,      0.3836,     98.0000,    -47.9954,      0.8756,     86.0000,    -47.9954,      0.8756,     86.0000
health_private_surv20,0,      0.0000,    662.2238,      0.2854,     98.0000,      7.8421,      0.9860,     86.0000,      7.8421,      0.9860,     86.0000
health_private_surv21,0,      0.0000,    -75.9573,      0.8529,     98.0000,    -19.9009,      0.9554,     86.0000,    -19.9009,      0.9554,     86.0000
health_private_surv22,0,      0.0000,   -150.7566,      0.7301,     98.0000,     80.8189,      0.8411,     86.0000,     80.8189,      0.8411,     86.0000
health_private_surv23,0,      0.0000,    -90.5102,      0.7967,     98.0000,    122.3215,      0.6919,     86.0000,    122.3215,      0.6919,     86.0000
health_private_surv24,0,      0.0000,    101.8575,      0.7669,     98.0000,    280.3292,      0.3748,     86.0000,    280.3292,      0.3748,     86.0000
health_private_surv25,0,      0.0000,    -55.4960,      0.9013,     98.0000,      8.8940,      0.9811,     86.0000,      8.8940,      0.9811,     86.0000
