rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv10,0,      0.0000,     93.1197,     27.0000
health_private_surv11,0,      0.0000,    731.1431,     27.0000
health_private_surv12,0,      0.0000,  -5531.0687,     27.0000
health_private_surv13,0,      0.0000,    120.2199,     27.0000
health_private_surv14,0,      0.0000,    116.7689,     27.0000
health_private_surv15,0,      0.0000,    314.3554,     27.0000
health_private_surv16,0,      0.0000,   -100.5425,     27.0000
health_private_surv17,0,      0.0000,   -730.3367,     27.0000
health_private_surv18,0,      0.0000,   -506.1258,     27.0000
health_private_surv19,0,      0.0000,   -345.0428,     27.0000
health_private_surv20,0,      0.0000,   -333.8001,     27.0000
health_private_surv21,0,      0.0000,     89.8095,     27.0000
health_private_surv22,0,      0.0000,   2110.9334,     27.0000
health_private_surv23,0,      0.0000,   1127.2749,     27.0000
health_private_surv24,0,      0.0000,   1644.5440,     27.0000
health_private_surv25,0,      0.0000,   1014.9888,     27.0000
health_private_surv26,0,      0.0000,   1395.4928,     27.0000
health_private_surv27,0,      0.0000,   1360.6997,     27.0000
health_private_surv28,0,      0.0000,    768.9821,     27.0000
health_private_surv29,0,      0.0000,    854.6423,     27.0000
health_private_surv30,0,      0.0000,  -2474.1373,      8.0000
health_private_surv31,0,      0.0000,  -2366.2763,      8.0000
health_private_surv32,0,      0.0000,  -1841.3291,      8.0000
health_private_surv33,0,      0.0000,  -1891.2297,      8.0000
health_private_surv34,0,      0.0000,  -1941.1304,      8.0000
health_private_surv35,0,      0.0000,  -1607.1402,      8.0000
health_private_surv36,0,      0.0000,  -1273.1496,      8.0000
health_private_surv37,0,      0.0000,  -1638.9797,      8.0000
health_private_surv38,0,      0.0000,  -2004.8095,      8.0000
health_private_surv39,0,      0.0000,  -1767.6355,      8.0000
health_private_surv40,0,      0.0000,  -1530.4611,      8.0000
health_private_surv41,0,      0.0000,  -1996.4937,      8.0000
health_private_surv42,0,      0.0000,  -2462.5258,      8.0000
health_private_surv43,0,      0.0000,  -1978.7332,      8.0000
health_private_surv44,0,      0.0000,  -1494.9401,      8.0000
health_private_surv45,0,      0.0000,  -1798.9546,      8.0000
health_private_surv46,0,      0.0000,  -2102.9685,      8.0000
health_private_surv47,0,      0.0000,  -2634.2183,      8.0000
health_private_surv48,0,      0.0000,  -3165.4675,      8.0000
health_private_surv49,0,      0.0000,  -3043.6395,      8.0000
health_private_surv50,0,      0.0000,  -2921.8121,      8.0000
health_private_surv51,0,      0.0000,  -2466.3115,      8.0000
health_private_surv52,0,      0.0000,  -2010.8096,      8.0000
health_private_surv53,0,      0.0000,  -1744.9255,      8.0000
health_private_surv54,0,      0.0000,  -1479.0429,      8.0000
health_private_surv55,0,      0.0000,  -1139.3874,      8.0000
health_private_surv56,0,      0.0000,   -799.7342,      8.0000
health_private_surv57,0,      0.0000,  -1585.5172,      8.0000
health_private_surv58,0,      0.0000,  -2371.2991,      8.0000
health_private_surv59,0,      0.0000,  -1392.9361,      8.0000
health_private_surv60,0,      0.0000,   -414.5754,      8.0000
health_private_surv61,0,      0.0000,   -935.4498,      8.0000
health_private_surv62,0,      0.0000,  -1456.3256,      8.0000
health_private_surv63,0,      0.0000,  -2694.5405,      8.0000
health_private_surv64,0,      0.0000,  -3932.7585,      8.0000
health_private_surv65,0,      0.0000,  -3563.2803,      8.0000
health_private_surv66,0,      0.0000,  -3193.8035,      8.0000
health_private_surv67,0,      0.0000,  -3078.9159,      8.0000
health_private_surv68,0,      0.0000,  -2964.0293,      8.0000
health_private_surv69,0,      0.0000,  -2645.7494,      8.0000
health_private_surv70,0,      0.0000,  -2327.4721,      8.0000
health_private_surv71,0,      0.0000,  -3484.1081,      8.0000
health_private_surv72,0,      0.0000,  -4640.7411,      8.0000
health_private_surv73,0,      0.0000,  -4580.8962,      8.0000
health_private_surv74,0,      0.0000,  -4521.0609,      8.0000
health_private_surv75,0,      0.0000,  -4643.8313,      8.0000
health_private_surv76,0,      0.0000,  -4766.6150,      8.0000
health_private_surv77,0,      0.0000,  -6172.0048,      8.0000
health_private_surv78,0,      0.0000,  -7577.4037,      8.0000
health_private_surv79,0,      0.0000,  -6426.5469,      8.0000
health_private_surv8,0,      0.0000,    -20.3872,      8.0000
health_private_surv9,0,      0.0000,    -69.3475,      8.0000
health_private_surv10,0,      1.0000,,      0.0000
health_private_surv11,0,      1.0000,,      0.0000
health_private_surv12,0,      1.0000,,      0.0000
health_private_surv13,0,      1.0000,,      0.0000
health_private_surv14,0,      1.0000,,      0.0000
health_private_surv15,0,      1.0000,,      0.0000
health_private_surv16,0,      1.0000,,      0.0000
health_private_surv17,0,      1.0000,,      0.0000
health_private_surv18,0,      1.0000,,      0.0000
health_private_surv19,0,      1.0000,,      0.0000
health_private_surv20,0,      1.0000,,      0.0000
health_private_surv21,0,      1.0000,,      0.0000
health_private_surv22,0,      1.0000,,      0.0000
health_private_surv23,0,      1.0000,,      0.0000
health_private_surv24,0,      1.0000,,      0.0000
health_private_surv25,0,      1.0000,,      0.0000
health_private_surv26,0,      1.0000,,      0.0000
health_private_surv27,0,      1.0000,,      0.0000
health_private_surv28,0,      1.0000,,      0.0000
health_private_surv29,0,      1.0000,,      0.0000
health_private_surv30,0,      1.0000,,      0.0000
health_private_surv31,0,      1.0000,,      0.0000
health_private_surv32,0,      1.0000,,      0.0000
health_private_surv33,0,      1.0000,,      0.0000
health_private_surv34,0,      1.0000,,      0.0000
health_private_surv35,0,      1.0000,,      0.0000
health_private_surv36,0,      1.0000,,      0.0000
health_private_surv37,0,      1.0000,,      0.0000
health_private_surv38,0,      1.0000,,      0.0000
