rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv10,0,      0.0000,     89.8762,     40.0000
health_private_surv11,0,      0.0000,    138.2115,     40.0000
health_private_surv12,0,      0.0000,   -879.6891,     40.0000
health_private_surv13,0,      0.0000,     16.9049,     40.0000
health_private_surv14,0,      0.0000,  -1548.2317,     40.0000
health_private_surv15,0,      0.0000,    882.8713,     40.0000
health_private_surv16,0,      0.0000,   -181.6989,     40.0000
health_private_surv17,0,      0.0000,   -273.6778,     40.0000
health_private_surv18,0,      0.0000,   -590.1029,     40.0000
health_private_surv19,0,      0.0000,   -318.4067,     40.0000
health_private_surv20,0,      0.0000,     47.1720,     40.0000
health_private_surv21,0,      0.0000,    196.0894,     40.0000
health_private_surv22,0,      0.0000,    120.4141,     40.0000
health_private_surv23,0,      0.0000,     98.9862,     40.0000
health_private_surv24,0,      0.0000,     30.7327,     40.0000
health_private_surv25,0,      0.0000,    -38.7978,     40.0000
health_private_surv26,0,      0.0000,   -117.3866,     40.0000
health_private_surv27,0,      0.0000,   -172.4046,     40.0000
health_private_surv28,0,      0.0000,   -221.8192,     40.0000
health_private_surv29,0,      0.0000,    -96.6484,     40.0000
health_private_surv30,0,      0.0000,   3918.3471,     11.0000
health_private_surv31,0,      0.0000,   1495.1341,     19.0000
health_private_surv32,0,      0.0000,   1717.0017,     23.0000
health_private_surv33,0,      0.0000,   1801.6719,     23.0000
health_private_surv34,0,      0.0000,   1957.1207,     23.0000
health_private_surv35,0,      0.0000,   1960.3746,     23.0000
health_private_surv36,0,      0.0000,   1914.2396,     23.0000
health_private_surv37,0,      0.0000,   1982.3064,     23.0000
health_private_surv38,0,      0.0000,   1969.8584,     23.0000
health_private_surv39,0,      0.0000,   2020.1849,     24.0000
health_private_surv40,0,      0.0000,   2167.1898,     24.0000
health_private_surv41,0,      0.0000,   2160.9394,     24.0000
health_private_surv42,0,      0.0000,   2004.5326,     24.0000
health_private_surv43,0,      0.0000,   2022.4225,     24.0000
health_private_surv44,0,      0.0000,   2075.5899,     24.0000
health_private_surv45,0,      0.0000,   2151.1443,     24.0000
health_private_surv46,0,      0.0000,   1910.0380,     24.0000
health_private_surv47,0,      0.0000,   1834.8219,     24.0000
health_private_surv48,0,      0.0000,   2218.7334,     24.0000
health_private_surv49,0,      0.0000,   2357.5924,     24.0000
health_private_surv50,0,      0.0000,   1817.1403,     24.0000
health_private_surv51,0,      0.0000,   1950.4703,     24.0000
health_private_surv52,0,      0.0000,   2703.3441,     24.0000
health_private_surv53,0,      0.0000,   2537.9220,     24.0000
health_private_surv54,0,      0.0000,   2261.0123,     24.0000
health_private_surv55,0,      0.0000,   2466.4042,     24.0000
health_private_surv56,0,      0.0000,   2444.6870,     24.0000
health_private_surv57,0,      0.0000,   2471.9303,     24.0000
health_private_surv58,0,      0.0000,   2609.6129,     24.0000
health_private_surv59,0,      0.0000,   3069.9225,     24.0000
health_private_surv60,0,      0.0000,   3692.8239,     24.0000
health_private_surv61,0,      0.0000,   4100.9840,     24.0000
health_private_surv62,0,      0.0000,   4511.3516,     24.0000
health_private_surv63,0,      0.0000,   4011.0671,     24.0000
health_private_surv64,0,      0.0000,   3522.0598,     24.0000
health_private_surv65,0,      0.0000,   3466.5049,     24.0000
health_private_surv66,0,      0.0000,   3486.5363,     24.0000
health_private_surv67,0,      0.0000,   3320.1426,     24.0000
health_private_surv68,0,      0.0000,   3207.6351,     24.0000
health_private_surv69,0,      0.0000,   3507.1652,     24.0000
health_private_surv70,0,      0.0000,   3659.1773,     24.0000
health_private_surv71,0,      0.0000,   3477.6689,     24.0000
health_private_surv72,0,      0.0000,   2627.1530,     24.0000
health_private_surv73,0,      0.0000,   2195.7427,     24.0000
health_private_surv74,0,      0.0000,   3445.5930,     24.0000
health_private_surv75,0,      0.0000,   5912.4916,     24.0000
health_private_surv76,0,      0.0000,   6822.6025,     24.0000
health_private_surv77,0,      0.0000,   6699.8217,     24.0000
health_private_surv78,0,      0.0000,   7074.5276,     24.0000
health_private_surv79,0,      0.0000,   7167.2570,     24.0000
health_private_surv8,0,      0.0000,  -3004.3893,     40.0000
health_private_surv9,0,      
