rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv10,0,      0.0000,     30.7461,     86.0000
health_private_surv11,0,      0.0000,    336.5914,     86.0000
health_private_surv12,0,      0.0000,   -324.9459,     86.0000
health_private_surv13,0,      0.0000,     45.6045,     86.0000
health_private_surv14,0,      0.0000,   -601.6307,     86.0000
health_private_surv15,0,      0.0000,    493.8225,     86.0000
health_private_surv16,0,      0.0000,    -48.2554,     86.0000
health_private_surv17,0,      0.0000,   -319.2421,     86.0000
health_private_surv18,0,      0.0000,   -547.6921,     86.0000
health_private_surv19,0,      0.0000,    -83.7798,     86.0000
health_private_surv20,0,      0.0000,     47.6187,     86.0000
health_private_surv21,0,      0.0000,    -97.4275,     86.0000
health_private_surv22,0,      0.0000,    -37.4219,     86.0000
health_private_surv23,0,      0.0000,   -122.2755,     86.0000
health_private_surv24,0,      0.0000,    191.2075,     86.0000
health_private_surv25,0,      0.0000,   -156.4917,     86.0000
health_private_surv26,0,      0.0000,      8.0374,     86.0000
health_private_surv27,0,      0.0000,    103.3040,     86.0000
health_private_surv28,0,      0.0000,   -169.2720,     86.0000
health_private_surv29,0,      0.0000,    -72.7967,     86.0000
health_private_surv30,0,      0.0000,   -807.8230,     29.0000
health_private_surv31,0,      0.0000,   -542.9213,     29.0000
health_private_surv32,0,      0.0000,   -378.0500,     29.0000
health_private_surv33,0,      0.0000,   -596.8290,     29.0000
health_private_surv34,0,      0.0000,   -815.6081,     29.0000
health_private_surv35,0,      0.0000,   -567.4599,     29.0000
health_private_surv36,0,      0.0000,   -319.3118,     29.0000
health_private_surv37,0,      0.0000,   -171.8151,     29.0000
health_private_surv38,0,      0.0000,    -39.6668,     29.0000
health_private_surv39,0,      0.0000,    338.7003,     29.0000
health_private_surv40,0,      0.0000,    155.1329,     29.0000
health_private_surv41,0,      0.0000,    101.6745,     29.0000
health_private_surv42,0,      0.0000,     52.1039,     29.0000
health_private_surv43,0,      0.0000,    166.6242,     29.0000
health_private_surv44,0,      0.0000,    281.1449,     29.0000
health_private_surv45,0,      0.0000,    255.9078,     29.0000
health_private_surv46,0,      0.0000,    230.6703,     29.0000
health_private_surv47,0,      0.0000,    313.0881,     29.0000
health_private_surv48,0,      0.0000,    395.5057,     29.0000
health_private_surv49,0,      0.0000,    358.7727,     29.0000
health_private_surv50,0,      0.0000,    322.0393,     29.0000
health_private_surv51,0,      0.0000,    805.8398,     29.0000
health_private_surv52,0,      0.0000,   1289.6408,     29.0000
health_private_surv53,0,      0.0000,    985.2461,     29.0000
health_private_surv54,0,      0.0000,    680.8510,     29.0000
health_private_surv55,0,      0.0000,    811.5112,     29.0000
health_private_surv56,0,      0.0000,    942.1706,     29.0000
health_private_surv57,0,      0.0000,   1328.3102,     29.0000
health_private_surv58,0,      0.0000,   1714.4495,     29.0000
health_private_surv59,0,      0.0000,   1652.2658,     29.0000
health_private_surv60,0,      0.0000,   1590.0812,     29.0000
health_private_surv61,0,      0.0000,   2645.9008,     29.0000
health_private_surv62,0,      0.0000,   3701.7206,     29.0000
health_private_surv63,0,      0.0000,   3083.6760,     29.0000
health_private_surv64,0,      0.0000,   2465.6300,     29.0000
health_private_surv65,0,      0.0000,   3197.1962,     29.0000
health_private_surv66,0,      0.0000,   3928.7644,     29.0000
health_private_surv67,0,      0.0000,   3706.0033,     29.0000
health_private_surv68,0,      0.0000,   3483.2425,     29.0000
health_private_surv69,0,      0.0000,   3927.2049,     29.0000
health_private_surv70,0,      0.0000,   4371.1676,     29.0000
health_private_surv71,0,      0.0000,   3813.1940,     29.0000
health_private_surv72,0,      0.0000,   3255.2188,     29.0000
health_private_surv73,0,      0.0000,   3124.0475,     29.0000
health_private_surv74,0,      0.0000,   2992.8722,     29.0000
health_private_surv75,0,      0.0000,   3745.1241,     29.0000
health_private_surv76,0,      0.0000,   4497.3725,     29.0000
health_private_surv77,0,      0.0000,   4568.7829,     29.0000
health_private_surv78,0,      0.0000,   4640.1943,     29.0000
health_private_surv79,0,      0.0000,   5180.1211,     29.0000
health_private_surv8,0,      0.0000,    -17.3078,     29.0000
health_private_surv9,0,      0.0000,  -1132.3404,     29.0000
health_private_surv10,0,      1.0000,      2.2148,     89.0000
health_private_surv11,0,      1.0000,    334.3470,     89.0000
health_private_surv12,0,      1.0000,   -124.1424,     83.0000
health_private_surv13,0,      1.0000,   -114.8629,     83.0000
health_private_surv14,0,      1.0000,  -1337.4975,     83.0000
health_private_surv15,0,      1.0000,   -705.3615,     83.0000
health_private_surv16,0,      1.0000,    216.0592,     83.0000
health_private_surv17,0,      1.0000,   -236.0062,     83.0000
health_private_surv18,0,      1.0000,   -376.7370,     83.0000
health_private_surv19,0,      1.0000,    125.1954,     83.0000
health_private_surv20,0,      1.0000,    368.2480,     83.0000
health_private_surv21,0,      1.0000,   -652.8256,     83.0000
health_private_surv22,0,      1.0000,  -1050.3691,     83.0000
health_private_surv23,0,      1.0000,   -466.3724,     83.0000
health_private_surv24,0,      1.0000,   -532.8867,     83.0000
health_private_surv25,0,      1.0000,   -743.1891,     83.0000
health_private_surv26,0,      1.0000,   -362.8677,     83.0000
health_private_surv27,0,      1.0000,   -285.2402,     83.0000
health_private_surv28,0,      1.0000,   -855.7618,     83.0000
health_private_surv29,0,      1.0000,   -472.4497,     83.0000
health_private_surv30,0,      1.0000,  -1267.8525,     40.0000
health_private_surv31,0,      1.0000,  -1356.4530,     40.0000
health_private_surv32,0,      1.0000,  -1191.0759,     40.0000
health_private_surv33,0,      1.0000,  -1253.8402,     40.0000
health_private_surv34,0,      1.0000,  -1316.6044,     40.0000
health_private_surv35,0,      1.0000,  -1433.9803,     40.0000
health_private_surv36,0,      1.0000,  -1551.3562,     40.0000
health_private_surv37,0,      1.0000,  -1367.6793,     40.0000
health_private_surv38,0,      1.0000,  -1229.7714,     40.0000
health_private_surv39,0,      1.0000,      0.3358,     40.0000
health_private_surv40,0,      1.0000,    219.4771,     40.0000
health_private_surv41,0,      1.0000,   -142.5600,     40.0000
health_private_surv42,0,      1.0000,   -495.5132,     40.0000
health_private_surv43,0,      1.0000,   -539.3493,     40.0000
health_private_surv44,0,      1.0000,   -583.1858,     40.0000
health_private_surv45,0,      1.0000,   -559.4965,     40.0000
health_private_surv46,0,      1.0000,   -535.8074,     40.0000
health_private_surv47,0,      1.0000,   -465.9500,     40.0000
health_private_surv48,0,      1.0000,   -396.0925,     40.0000
health_private_surv49,0,      1.0000,   -277.3927,     40.0000
health_private_surv50,0,      1.0000,   -158.6931,     40.0000
health_private_surv51,0,      1.0000,   -115.3604,     40.0000
health_private_surv52,0,      1.0000,    -72.0290,     40.0000
health_private_surv53,0,      1.0000,   -378.2998,     40.0000
health_private_surv54,0,      1.0000,   -684.5708,     40.0000
health_private_surv55,0,      1.0000,   -121.5227,     40.0000
health_private_surv56,0,      1.0000,    441.5258,     40.0000
health_private_surv57,0,      1.0000,    568.2974,     40.0000
health_private_surv58,0,      1.0000,    695.0684,     40.0000
health_private_surv59,0,      1.0000,    709.5694,     40.0000
health_private_surv60,0,      1.0000,    724.0704,     40.0000
health_private_surv61,0,      1.0000,   1299.6429,     40.0000
health_private_surv62,0,      1.0000,   1875.2155,     40.0000
health_private_surv63,0,      1.0000,   1635.5613,     40.0000
health_private_surv64,0,      1.0000,   1395.9067,     40.0000
health_private_surv65,0,      1.0000,   1192.7940,     40.0000
health_private_surv66,0,      1.0000,    989.6808,     40.0000
health_private_surv67,0,      1.0000,    720.1675,     40.0000
health_private_surv68,0,      1.0000,    450.6565,     40.0000
health_private_surv69,0,      1.0000,    794.7647,     40.0000
health_private_surv70,0,      1.0000,   1138.8753,     40.0000
health_private_surv71,0,      1.0000,   1156.6927,     40.0000
health_private_surv72,0,      1.0000,   1174.5058,     40.0000
health_private_surv73,0,      1.0000,    842.7099,     40.0000
health_private_surv74,0,      1.0000,    510.9125,     40.0000
health_private_surv75,0,      1.0000,   1987.0254,     40.0000
health_private_surv76,0,      1.0000,   3463.1386,     40.0000
health_private_surv77,0,      1.0000,   1711.8420,     40.0000
health_private_surv78,0,      1.0000,    -39.4540,     40.0000
health_private_surv79,0,      1.0000,   -224.5461,     40.0000
health_private_surv8,0,      1.0000,     13.1243,     40.0000
health_private_surv9,0,      1.0000,  -1471.9033,     40.0000
health_private_surv10,0,      2.0000,     45.5713,     83.0000
