variable,category,age,label,block,block_appendix,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,ipw_male1,ipw_male2,ipw_male3,ipw_male4,ipw_female1,ipw_female2,ipw_female3,ipw_female4
ssclaim30,Health,30,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim31,Health,31,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim32,Health,32,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim33,Health,33,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim34,Health,34,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim35,Health,35,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim36,Health,36,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim37,Health,37,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim38,Health,38,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim39,Health,39,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim40,Health,40,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim41,Health,41,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim42,Health,42,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim43,Health,43,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim44,Health,44,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim45,Health,45,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim46,Health,46,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
ssclaim47,Health,47,Social Security Claim,,,-,si34y_bmi,apgar1,apgar5,prem_birth,,,,,,,,,
