"age","p","m","f"
20,472.12,473.38,470.23
21,525.9,528.59,521.72
22,557.13,563.97,547.38
23,595.94,603.14,585.11
24,623.4,636.53,604.07
25,651.23,665.05,631.48
26,687.17,703.85,664.28
27,717.48,735.2,693.65
28,753.12,772.86,727.2
29,779.18,802.47,749.31
30,799.69,820.75,773.22
31,825.43,845.01,801.38
32,843.7,866.78,816.44
33,865.08,887.46,839.59
34,881.98,903.54,858.47
35,900.75,926.7,873.3
36,916.2,941.64,889.59
37,933.72,965.54,901.53
38,948.42,982.82,913.77
39,959.11,996.22,922.63
40,977.47,1019.48,936.84
41,987.39,1036.14,939.98
42,999.31,1053.58,946.48
43,1013.81,1070.49,958.3
44,1029.03,1090.82,968.15
45,1040.2,1105.09,974.61
46,1048.63,1118,978.01
47,1056.79,1130.92,980.89
48,1069.87,1147,990.14
49,1079.7,1162.26,995.74
50,1093.29,1182.76,1002.26
51,1108.83,1206.24,1009.18
52,1121.51,1224.62,1016.05
53,1140.46,1250.57,1027.04
54,1156.6,1274.48,1034.55
55,1176.39,1303.27,1043.34
56,1196.38,1329.95,1054.45
57,1212.77,1355.55,1060.79
58,1232.74,1382.19,1073.03
59,1252.99,1410.27,1084.35
60,1270.26,1433.35,1094.13
61,1287.27,1459.23,1100.36
62,1305.86,1483.81,1109.61
63,1320.23,1503.01,1114.77
64,1326.75,1514.3,1112.96
65,1336.45,1531.84,1111.12
