variable,cf_category,category,age,label,block,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,only_abc,only_care
piat_math7y,Cognitive Skills,Achievement Scores,7,PIAT Math Std. Score,achievement,+,piat_math7y,hrabc_index,apgar1,cohort,,1,0
ach5y6m,Cognitive Skills,Achievement Scores,5.5,Std. Achv.  Test,achievement,+,ach5y6m,hrabc_index,apgar1,cohort,,0,0
ach6y,Cognitive Skills,Achievement Scores,6,Std. Achv.  Test,achievement,+,,,,,,0,0
ach6y6m,Cognitive Skills,Achievement Scores,6.5,Std. Achv.  Test,achievement,+,ach6y6m,hrabc_index,apgar1,cohort,,1,0
ach7y,Cognitive Skills,Achievement Scores,7,Std. Achv.  Test,achievement,+,ach7y,hrabc_index,apgar1,cohort,,1,0
ach7y6m,Cognitive Skills,Achievement Scores,7.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y,Cognitive Skills,Achievement Scores,8,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y6m,Cognitive Skills,Achievement Scores,8.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach12y,Cognitive Skills,Achievement Scores,12,Std. Achv.  Test,achievement,+,,,,,,0,1
ach15y,Cognitive Skills,Achievement Scores,15,Std. Achv.  Test,achievement,+,,,,,,1,0
ach21y,Cognitive Skills,Achievement Scores,21,Std. Achv.  Test,achievement,+,,,,,,1,0
iq2y,Cognitive Skills,IQ Scores,2,Std. IQ Test,iq,+,,,,,,0,0
iq2y6m,Cognitive Skills,IQ Scores,2.5,Std. IQ Test,iq,+,,,,,,0,1
iq3y,Cognitive Skills,IQ Scores,3,Std. IQ Test,iq,+,,,,,,0,0
iq3y6m,Cognitive Skills,IQ Scores,3.5,Std. IQ Test,iq,+,,,,,,0,0
iq4y,Cognitive Skills,IQ Scores,4,Std. IQ Test,iq,+,,,,,,0,0
iq4y6m,Cognitive Skills,IQ Scores,4.5,Std. IQ Test,iq,+,,,,,,0,0
iq5y,Cognitive Skills,IQ Scores,5,Std. IQ Test,iq,+,,,,,,0,0
iq6y,Cognitive Skills,IQ Scores,6,Std. IQ Test,iq,+,iq6y,apgar5,m_married0y,cohort,,1,0
iq6y6m,Cognitive Skills,IQ Scores,6.6,Std. IQ Test,iq,+,,,,,,0,0
iq7y,Cognitive Skills,IQ Scores,7,Std. IQ Test,iq,+,iq7y,hrabc_index,apgar5,cohort,,0,0
iq8y,Cognitive Skills,IQ Scores,8,Std. IQ Test,iq,+,,,,,,0,0
iq12y,Cognitive Skills,IQ Scores,12,Std. IQ Test,iq,+,,,,,,0,0
iq15y,Cognitive Skills,IQ Scores,15,Std. IQ Test,iq,+,,,,,,1,0
iq21y,Cognitive Skills,IQ Scores,21,Std. IQ Test,iq,+,,,,,,1,0
ad34_fel,Crime,Crime,Mid-30s,Total Felony Arrests,crime,-,ad34_fel,apgar1,apgar5,cohort,,0,0
ad34_mis,Crime,Crime,Mid-30s,Total Misdemeanor Arrests,crime,-,ad34_mis,apgar1,apgar5,cohort,,0,0
si30y_adlt_totinc,Crime,Crime,30,Total Years Incarcerated,crime,-,,,,,,0,0
si30y_techcc_att,"Education, Employment, Income",Education,30,Attended Voc./Tech./Com. College,education,+,,,,,,0,0
si30y_univ_comp,"Education, Employment, Income",Education,30,Graduated 4-year College,education,+,si30y_univ_comp,apgar1,apgar5,cohort,,0,0
sch_hs30y,"Education, Employment, Income",Education,30,Graduated High School,education,+,,,,,,0,0
years_30y,"Education, Employment, Income",Education,30,Years of Edu.,education,+,,,,,,0,0
J_WorkWell,"Education, Employment, Income",Job Attitude,30,Do work well,jobattitude,+,J_WorkWell,hrabc_index,apgar5,cohort,,0,0
J_Lose,"Education, Employment, Income",Job Attitude,30,Don't do things that cause to lose job,jobattitude,+,J_Lose,hrabc_index,apgar5,cohort,,0,0
J_StayAway,"Education, Employment, Income",Job Attitude,30,Don't stay away from job,jobattitude,+,J_StayAway,m_iq0y,apgar5,cohort,,0,0
