variable,cf_category,category,age,label,block,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,only_abc,only_care,N_total,N_var,percentage
iq2y,Cognitive Skills,IQ Scores,2,Std. IQ Test,iq,+,,,,,,0,0,155,142,0.92
iq3y,Cognitive Skills,IQ Scores,3,Std. IQ Test,iq,+,,,,,,0,0,155,140,0.9
iq3y6m,Cognitive Skills,IQ Scores,3.5,Std. IQ Test,iq,+,,,,,,0,0,155,139,0.9
iq4y,Cognitive Skills,IQ Scores,4,Std. IQ Test,iq,+,,,,,,0,0,155,139,0.9
iq4y6m,Cognitive Skills,IQ Scores,4.5,Std. IQ Test,iq,+,,,,,,0,0,155,136,0.88
iq5y,Cognitive Skills,IQ Scores,5,Std. IQ Test,iq,+,,,,,,0,0,155,137,0.88
iq6y6m,Cognitive Skills,IQ Scores,6.6,Std. IQ Test,iq,+,iq6y6m,hrabc_index,apgar1,cohort,,0,0,155,126,0.81
iq7y,Cognitive Skills,IQ Scores,7,Std. IQ Test,iq,+,iq7y,hrabc_index,apgar5,cohort,,0,0,155,118,0.76
iq8y,Cognitive Skills,IQ Scores,8,Std. IQ Test,iq,+,iq8y,hrabc_index,apgar1,cohort,,0,0,155,125,0.81
iq12y,Cognitive Skills,IQ Scores,12,Std. IQ Test,iq,+,,,,,,0,0,155,134,0.86
iq15y,Cognitive Skills,IQ Scores,15,Std. IQ Test,iq,+,,,,,,1,0,116,104,0.9
iq21y,Cognitive Skills,IQ Scores,21,Std. IQ Test,iq,+,,,,,,1,0,116,104,0.9
factor_iq5y,Cognitive Skills,IQ Scores,2 to 5,IQ Factor,iq,+,,,,,,0,0,155,,0
factor_iq12y,Cognitive Skills,IQ Scores,6 to 12,IQ Factor,iq,+,,,,,,0,0,155,,0
factor_iq21y,Cognitive Skills,IQ Scores,15 to 21,IQ Factor,iq,+,,,,,,1,0,116,,0
ach5y6m,Cognitive Skills,Achievement Scores,5.5,Std. Achv.  Test,achievement,+,ach5y6m,hrabc_index,apgar1,cohort,,0,0,155,105,0.68
ach6y,Cognitive Skills,Achievement Scores,6,Std. Achv.  Test,achievement,+,ach6y,hrabc_index,apgar1,cohort,,0,0,155,124,0.8
ach6y6m,Cognitive Skills,Achievement Scores,6.5,Std. Achv.  Test,achievement,+,ach6y6m,hrabc_index,apgar1,cohort,,1,0,116,89,0.77
ach7y,Cognitive Skills,Achievement Scores,7,Std. Achv.  Test,achievement,+,ach7y,hrabc_index,apgar1,cohort,,1,0,116,90,0.78
ach7y6m,Cognitive Skills,Achievement Scores,7.5,Std. Achv.  Test,achievement,+,ach7y6m,hrabc_index,apgar1,cohort,,0,0,155,121,0.78
ach8y,Cognitive Skills,Achievement Scores,8,Std. Achv.  Test,achievement,+,ach8y,hrabc_index,apgar1,cohort,,0,0,155,123,0.79
ach8y6m,Cognitive Skills,Achievement Scores,8.5,Std. Achv.  Test,achievement,+,ach8y6m,hrabc_index,apgar5,cohort,,0,0,155,122,0.79
ach15y,Cognitive Skills,Achievement Scores,15,Std. Achv.  Test,achievement,+,,,,,,1,0,116,104,0.9
ach21y,Cognitive Skills,Achievement Scores,21,Std. Achv.  Test,achievement,+,,,,,,1,0,116,104,0.9
factor_ach12y,Cognitive Skills,Achievement Scores,5.5 to 12,Achievement Factor,achievement,+,,,,,,0,0,155,,0
factor_ach21y,Cognitive Skills,Achievement Scores,15 to 21,Achievement Factor,achievement,+,,,,,,1,0,116,,0
