variable,cf_category,category,age,label,block,hyp,ipw_var,ipw_pooled1,ipw_pooled2,ipw_pooled3,ipw_pooled4,only_abc,only_care
iq2y,Cognitive Skills,IQ Scores,2,Std. IQ Test,iq,+,,,,,,0,0
iq2y6m,Cognitive Skills,IQ Scores,2.5,Std. IQ Test,iq,+,,,,,,0,1
iq3y,Cognitive Skills,IQ Scores,3,Std. IQ Test,iq,+,,,,,,0,0
iq3y6m,Cognitive Skills,IQ Scores,3.5,Std. IQ Test,iq,+,,,,,,0,0
iq4y,Cognitive Skills,IQ Scores,4,Std. IQ Test,iq,+,,,,,,0,0
iq4y6m,Cognitive Skills,IQ Scores,4.5,Std. IQ Test,iq,+,,,,,,0,0
iq5y,Cognitive Skills,IQ Scores,5,Std. IQ Test,iq,+,,,,,,0,0
iq6y,Cognitive Skills,IQ Scores,6,Std. IQ Test,iq,+,iq6y,apgar5,m_married0y,cohort,,1,0
iq6y6m,Cognitive Skills,IQ Scores,6.6,Std. IQ Test,iq,+,,,,,,0,0
iq7y,Cognitive Skills,IQ Scores,7,Std. IQ Test,iq,+,iq7y,hrabc_index,apgar5,cohort,,0,0
iq8y,Cognitive Skills,IQ Scores,8,Std. IQ Test,iq,+,,,,,,0,0
iq12y,Cognitive Skills,IQ Scores,12,Std. IQ Test,iq,+,,,,,,0,0
iq15y,Cognitive Skills,IQ Scores,15,Std. IQ Test,iq,+,,,,,,1,0
iq21y,Cognitive Skills,IQ Scores,21,Std. IQ Test,iq,+,,,,,,1,0
ach5y6m,Cognitive Skills,Achievement Scores,5.5,Std. Achv.  Test,achievement,+,ach5y6m,hrabc_index,apgar1,cohort,,0,0
ach6y,Cognitive Skills,Achievement Scores,6,Std. Achv.  Test,achievement,+,,,,,,0,0
ach6y6m,Cognitive Skills,Achievement Scores,6.5,Std. Achv.  Test,achievement,+,ach6y6m,hrabc_index,apgar1,cohort,,1,0
ach7y,Cognitive Skills,Achievement Scores,7,Std. Achv.  Test,achievement,+,ach7y,hrabc_index,apgar1,cohort,,1,0
piat_math7y,Cognitive Skills,Achievement Scores,7,PIAT Math Std. Score,achievement,+,piat_math7y,hrabc_index,apgar1,cohort,,1,0
ach7y6m,Cognitive Skills,Achievement Scores,7.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y,Cognitive Skills,Achievement Scores,8,Std. Achv.  Test,achievement,+,,,,,,0,0
ach8y6m,Cognitive Skills,Achievement Scores,8.5,Std. Achv.  Test,achievement,+,,,,,,0,0
ach12y,Cognitive Skills,Achievement Scores,12,Std. Achv.  Test,achievement,+,,,,,,0,1
ach15y,Cognitive Skills,Achievement Scores,15,Std. Achv.  Test,achievement,+,,,,,,1,0
ach21y,Cognitive Skills,Achievement Scores,21,Std. Achv.  Test,achievement,+,,,,,,1,0
ibr_actv0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - activity level,ibr,+,,,,,,0,0
ibr_actv2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - activity level,ibr,+,ibr_actv2y,m_age0y,apgar1,cohort,,0,0
ibr_coop0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_coop2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - cooperativeness,ibr,+,,,,,,0,1
ibr_sociab0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - sociability,ibr,+,,,,,,0,0
ibr_sociab2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - sociability,ibr,+,ibr_sociab2y,m_age0y,apgar1,cohort,,1,0
ibr_task0y6m,Noncognitive Skills,Infant Behavior Record,0.5,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task1y,Noncognitive Skills,Infant Behavior Record,1,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task1y6m,Noncognitive Skills,Infant Behavior Record,1.5,Temperament cluster - task orientation,ibr,+,,,,,,0,0
ibr_task2y,Noncognitive Skills,Infant Behavior Record,2,Temperament cluster - task orientation,ibr,+,ibr_task2y,m_age0y,apgar1,cohort,,0,0
kr_att2y,Noncognitive Skills,Kohn and Rosman: Attentive/Cooperative,2,Attentive/Cooperative,kr_attentive,+,kr_att2y,m_age0y,apgar1,cohort,,0,0
kr_att12y,Noncognitive Skills,Kohn and Rosman: Attentive/Cooperative,12,Attentive/Cooperative,kr_attentive,+,,,,,,0,0
cbi_co6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Considerateness,cbi_pos,+,,,,,,0,0
cbi_co7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Considerateness,cbi_pos,+,cbi_co7y,hrabc_index,apgar1,cohort,,0,0
cbi_co8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Considerateness,cbi_pos,+,,,,,,0,0
cbi_co12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Considerateness,cbi_pos,+,cbi_co12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_cr6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Creativity,cbi_pos,+,,,,,,0,0
cbi_cr7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Creativity,cbi_pos,+,cbi_cr7y,hrabc_index,apgar1,cohort,,0,0
cbi_cr8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Creativity,cbi_pos,+,,,,,,0,0
cbi_cr12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Creativity,cbi_pos,+,cbi_cr12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ex6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Extraversion,cbi_pos,+,,,,,,0,0
cbi_ex7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Extraversion,cbi_pos,+,cbi_ex7y,hrabc_index,apgar1,cohort,,0,0
cbi_ex8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Extraversion,cbi_pos,+,,,,,,0,0
cbi_ex12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Extraversion,cbi_pos,+,cbi_ex12y,m_age0y,apgar1,f_home0y,,0,0
cbi_id6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Independence,cbi_pos,+,,,,,,0,0
cbi_id7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Independence,cbi_pos,+,cbi_id7y,hrabc_index,apgar1,cohort,,0,0
cbi_id8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Independence,cbi_pos,+,,,,,,0,0
cbi_id12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Independence,cbi_pos,+,cbi_id12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_ta6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Task Orientation,cbi_pos,+,,,,,,0,0
cbi_ta7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Task Orientation,cbi_pos,+,cbi_ta7y,hrabc_index,apgar1,cohort,,0,0
cbi_ta8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Task Orientation,cbi_pos,+,,,,,,0,0
cbi_ta12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Task Orientation,cbi_pos,+,cbi_ta12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ve6y,Noncognitive Skills,Classroom Behavior Inventory (Part I),6,Verbal Intelligence,cbi_pos,+,,,,,,0,0
cbi_ve7y,Noncognitive Skills,Classroom Behavior Inventory (Part I),7,Verbal Intelligence,cbi_pos,+,cbi_ve7y,hrabc_index,apgar1,cohort,,0,0
cbi_ve8y,Noncognitive Skills,Classroom Behavior Inventory (Part I),8,Verbal Intelligence,cbi_pos,+,,,,,,0,0
cbi_ve12y,Noncognitive Skills,Classroom Behavior Inventory (Part I),12,Verbal Intelligence,cbi_pos,+,cbi_ve12y,m_age0y,apgar1,f_home0y,,0,0
cbi_de6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Dependence,cbi_neg,-,,,,,,0,0
cbi_de7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Dependence,cbi_neg,-,cbi_de7y,hrabc_index,apgar1,cohort,,0,0
cbi_de8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Dependence,cbi_neg,-,,,,,,0,0
cbi_de12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Dependence,cbi_neg,-,cbi_de12y,hrabc_index,apgar1,prem_birth,,0,0
cbi_di6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Distractibility,cbi_neg,-,,,,,,0,0
cbi_di7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Distractibility,cbi_neg,-,cbi_di7y,hrabc_index,apgar1,cohort,,0,0
cbi_di8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Distractibility,cbi_neg,-,,,,,,0,0
cbi_di12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Distractibility,cbi_neg,-,cbi_di12y,m_age0y,apgar1,f_home0y,,0,0
cbi_ho6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Hostility,cbi_neg,-,,,,,,0,0
cbi_ho7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Hostility,cbi_neg,-,cbi_ho7y,hrabc_index,apgar1,cohort,,0,0
cbi_ho8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Hostility,cbi_neg,-,,,,,,0,0
cbi_ho12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Hostility,cbi_neg,-,cbi_ho12y,m_age0y,apgar1,f_home0y,,0,0
cbi_iv6y,Noncognitive Skills,Classroom Behavior Inventory (Part II),6,Introversion,cbi_neg,-,,,,,,0,0
cbi_iv7y,Noncognitive Skills,Classroom Behavior Inventory (Part II),7,Introversion,cbi_neg,-,cbi_iv7y,hrabc_index,apgar1,cohort,,0,0
cbi_iv8y,Noncognitive Skills,Classroom Behavior Inventory (Part II),8,Introversion,cbi_neg,-,,,,,,0,0
cbi_iv12y,Noncognitive Skills,Classroom Behavior Inventory (Part II),12,Introversion,cbi_neg,-,cbi_iv12y,m_age0y,apgar1,f_home0y,,0,0
easy_temp,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Activity - tempo,easi,-,,,,,,0,0
easy_vig,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Activity - vigor,easi,+,,,,,,0,0
easy_ang,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - anger,easi,-,,,,,,0,0
easy_fear,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - fear,easi,-,,,,,,0,0
easy_gen,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Emotionality - general,easi,-,,,,,,0,0
easy_cont,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - control,easi,-,,,,,,0,0
easy_deci,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - decisive,easi,-,,,,,,0,0
easy_pers,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - perservere,easi,-,,,,,,0,0
easy_sens,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Impulsitivity - sensation,easi,-,,,,,,0,0
easy_soci,Noncognitive Skills,"Emotional, Activity, Sociability, Impulsivity Survey",8,Sociablity,easi,+,,,,,,0,0
hic_beh12y,Noncognitive Skills,Harter Importance,12,Behavioral conduct,harter,+,hic_beh12y,apgar5,m_married0y,cohort,,0,0
hic_phy12y,Noncognitive Skills,Harter Importance,12,Physical appearance,harter,+,hic_phy12y,apgar5,m_married0y,cohort,,0,0
hic_soc12y,Noncognitive Skills,Harter Importance,12,Social acceptance,harter,+,hic_soc12y,apgar5,m_married0y,cohort,,0,0
